id,text,summary,label
0,"11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में टीम का नेतृत्व किया, जबकि तीन फ़म्बल किए और दो की रिकवरी  की। साथी लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े। पैंथर्स लाइन के अनुभवी डिफ़ेंसिव छोर में 5-बार के प्रो बॉलर जेरेड एलेन भी शामिल थे, जो 136 के साथ NFL के सक्रिय करियर सैक लीडर थे, साथ ही डिफ़ेंसिव छोर में कोनी एलियल थे, जिनके पास केवल शुरुआत के 9 में 5 सैक थे। उनके पीछे, पैंथर्स के तीन शुरुआती लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए चुना गया था: थॉमस डेविस और ल्यूक क्युचली। डेविस ने 5½ सैक, चार फ़ोर्स्ड फ़म्बल, और चार इंटरसेप्शन पुरे किए, जबकि कुएक्ली ने टैकल में टीम का नेतृत्व किया (118) दो फ़ोर्स्ड फ़म्बल, और अपने स्वयं के चार पास को इंटरसेप्ट किए। कैरोलिना की सेकेंडरी में प्रो बाउल सुरक्षा में कर्ट कोलमैन थे, जिन्होंने करियर के सबसे अच्छे सात इंटर्सेप्शन के साथ टीम का नेतृत्व किया, जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी विकसित हुए ने चार इंटर्सेप्शन किए, जिनमें से दो टचडाउन के लिए लौटाए गए थे।","प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर",1
0,"प्रो बाउल के दिन, जब टीम के छोर में एक बड़ा मोमेंट आता है, सभी नजरें उस एक बाउल डिफ़ेंसिव पर होती है। यह एक बाउल कॉर्नरबैक था, जो न केवल फ़ोर्स्ड फ़म्बल किए लेकिन अपने इंटर्सेप्शन किए के लिए भी जाना जाता है। इस दिन, जब टीम ने प्रो बॉलर के रूप में अपने बाउल सुरक्षा को पुरे किए, सभी नजरें उस छोर में फ़ोर्स्ड फ़म्बल के बाद उतरे एक बाउल चयन पर थीं। यह एक ऐसा मोमेंट था जो NFL में एक बाउल डिफ़ेंसिव के लिए एक बड़ा अवसर था।

एक बाउल कॉर्नरबैक ने अपने छोर में एक बड़ा मोमेंट बनाया, जिसे लोग अपने दिल में बर्बर रखते हैं। उस दिन, जब टीम ने चार प्रो के रूप में अपने बाउल सुरक्षा को पुरे किए, सभी नजरें उस छोर में फ़ोर्स्ड फ़म्बल के बाद उतरे एक बाउल चयन पर थीं। यह एक ऐसा दिन था जब टीम ने अपने बाउल डिफ़ेंसिव के लिए एक बड़ा अवसर बनाया।

इस दिन के छोर में, एक बाउल कॉर्नरबैक ने अपने बाउल चयन के साथ एक बड़ा मोमेंट बनाया, जो एक बाउल सुरक्षा के रूप में जाना जाता है। यह एक ऐसा दिन था जब टीम ने अपने बाउल डिफ़ेंसिव के लिए एक बड़ा अवसर बनाया।","प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर",0
1,"फिर उन्होंने एएफसी चैम्पियनशिप गेम में न्यू इंग्लैंड के 2-अंक के रूपांतरण के प्रयास के एक पास को इंटरसेप्ट करके मौजूदा सुपर बाउल XLIX चैंपियन न्यू इंग्लैंड पैट्रिओट्स को 17 सेकंड रहते हुए 20–18 से हराया। सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद, वे अपने दो प्लेऑफ़ गेम में कोई भी गेम नहीं हारे।","न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी",1
1,"न्यू इंग्लैंड पैट्रिओट्स ने अपने सीज़न के अंतिम तीन मिनट में एक अजीब बाउल XLIX के साथ अपनी चैंपियन गारंटी बनाकर रख ली। इस गेम में, जब उन्होंने अंक बनाकर डिवीजनल राउंड में अपनी जगह बनाई, तो सभी ने उनकी ताकत को देखा। लेकिन अंततः, पिट्सबर्ग स्टीलर्स ने उन्हें हराया। इस गेम में, जब अंतिम तीन मिनट शुरू हुए, तो सभी ने उम्मीद की कि न्यू इंग्लैंड अपनी चैंपियन गारंटी बनाकर रख सकेंगे। लेकिन इस बाउल XLIX के साथ अंतिम चैंपियन न्यू इंग्लैंड के लिए एक बड़ा चुनौतीपूर्ण राउंड शुरू हुआ। उन्होंने अपनी ताकत को दिखाया, लेकिन अंततः उन्हें अपनी जगह नहीं बनाई। इस गेम में, जब अंतिम तीन मिनट बर्बर बर्बर रहे, तो लोगों ने उनकी ताकत को देखा। लेकिन अंततः, पिट्सबर्ग स्टीलर्स ने उन्हें हराया। इस गेम में, जब अंतिम तीन मिनट शुरू हुए, तो सभी ने उम्मीद की कि न्यू इंग्लैंड अपनी चैंपियन गारंटी बनाकर रख सकेंगे। लेकिन इस बाउल XLIX के साथ अंतिम चैंपियन न्यू इंग्लैंड के लिए एक बड़ा चुनौतीपूर्ण राउंड शुरू हुआ।","न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी",0
2,"वह 39 में उम्र में एक सुपर बाउल खेलने वाले सबसे अधिक उम्र के क्वार्टरबैक भी हैं। पिछला रिकॉर्ड जॉन एलवे के नाम था, जिन्होंने 38 की उम्र में सुपर बाउल XXXIII जीतने में ब्रोंकोस का नेतृत्व किया और वर्तमान में डेनवर के फुटबॉल संचालन के कार्यकारी उपाध्यक्ष और महाप्रबंधक हैं।","सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र",1
2,"सुपर बाउल, फुटबॉल के सबसे शानदार एवं उत्साहजनक घटनाओं में से एक है। जब दो अलग-अलग टीमों के बीच लीड लड़ने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खे�लने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलन","सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र",0
3,"अगले खेल में, मिलर गेंद को न्यूटन से दूर ले गए, और कई खिलाड़ियों ने इसके लिए प्रयास करने के बाद, इसने पीछे की तरफ एक लंबा उछाल लिया और इसे वार्ड द्वारा प्राप्त किया गया,  जिसने इसे पाँच यार्ड की दूरी पर वापस भेजा जो पैंथर्स के 4-यार्ड लाइन के अंदर था। हालाँकि कई खिलाडियों ने इसे प्राप्त करने के लिए समूह में प्रयास किया, लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की कमी के कारण बाद में उनकी भारी आलोचना हुई। इस बीच, तीन खेलों के लिए डेनवर के आक्रमण को अंत छोर से बाहर बाहर रखा गया था, लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए पेनल्टी ने ब्रोंकोस को और भी परेशान कर दिया। तब एंडरसन ने 2-यार्ड टचडाउन रन पर अंक अर्जित किए और मैनिंग ने 2-पॉइंट के रूपांतरण के लिए बेनी फ़ाउलर को पास दिया, 3:08 समय रहते हुए डेनवर को 24-10 की बढ़त दी और खेल को लगभग जीत लिया। कैरोलिना ने दो और ड्राइव का प्रयास किया, लेकिन हर एक पर फ़र्स्ट डाउन पाने करने में असफल रहे।","-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड",1
3,"एक बिना आवाज़ के दिन, जब दूर के ध्वनियाँ अंधेरे में बिखर गईं, एक खेल शुरू हुआ। यार्ड लाइन के पास, एक गेंद उछली और एक बाहर बाहर के दृढ़ आवेग से चले गए। इसने पीछे ले जाने के लिए अपनी गति बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर �","-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड",0
4,"वोज्शिएक बोगसुलावस्की थियेटर (1922–26), ""पोलिश स्मारकीय थिएटर"" का सबसे अच्छा उदाहरण था। 1930 के दशक के मध्य से, महान रंगमंच की इमारत ने अभिनय विभाग और एक मंच निर्देशन विभाग युक्त नाटकीय कला की उपति इंस्टीट्यूट - ड्रामाटिक कला की पहली राज्य-संचालित अकादमी को आश्रय दिया।","ड्रामाटिक कला, ओरगॉस्क सास्की, साहित्यिक कैबरे, ""पोलिश स्मारकीय, उदाहरण था।, महान रंगमंच, उपति इंस्टीट्यूट, आश्रय दिया।, समर थियेटर, कॉम्प्लेक्स में, में मोमस, पहली साहित्यिक, नाटकीय कला, पहली राज्य-संचालित, सास्की (सैक्सन",1
4,"पहली साहित्यिक कैबरे के जन्म के बाद, ओरगॉस्क सास्की ने अपने दिमाग में एक ड्रामाटिक कला की चिंता बरकरार रखी। उनके द्वारा स्थापित उपति इंस्टीट्यूट ने नाटकीय कला के लिए एक नए राज्य-संचालित आश्रय दिया। यह एक महान रंगमंच था, जो समर थियेटर के कॉम्प्लेक्स में स्थित था। इसके अंदर, एक विशाल मोमस था, जो साहित्यिक कैबरे के रूप में जाना जाता था। यह एक पोलिश स्मारकीय था, जो अपने नाटकीय कला के लिए एक उदाहरण था।

ओरगॉस्क सास्की ने अपने जीवन के अंतिम दिनों तक इस रंगमंच के निर्माण में आश्रय दिया। उनकी विचारधारा ने लोगों को एक नए संस्कृति के रूप में एक नाटकीय कला के लिए एक आवागमन दिया। उनके द्वारा बनाए गए यह रंगमंच अब एक ऐतिहासिक स्थल बन गया है। इसके अंदर एक साहित्यिक कैबरे के रूप में जाना जाता है, जहां लोग अपनी आवेदन और विचारों को व्यक्त कर सकते हैं। यह एक पहली साहित्यिक कैबरे था, जो अपने विशिष्ट विश्वास के साथ एक नए रूप में उभरा।

ओरगॉस्क सास्की के योगदान ने एक ऐतिहासिक रूप में एक नाटकीय कला के लिए एक नए आवागमन दिया। उनके द्वारा बनाए गए यह रंगमंच अब एक ऐतिहासिक बिंदु बन गया है, जो अपने जीवन के अंतिम दिनों तक एक नए संस्कृति के रूप में उभरा।","ड्रामाटिक कला, ओरगॉस्क सास्की, साहित्यिक कैबरे, ""पोलिश स्मारकीय, उदाहरण था।, महान रंगमंच, उपति इंस्टीट्यूट, आश्रय दिया।, समर थियेटर, कॉम्प्लेक्स में, में मोमस, पहली साहित्यिक, नाटकीय कला, पहली राज्य-संचालित, सास्की (सैक्सन",0
