id,text,text_perturb,label,summary
0,"11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में टीम का नेतृत्व किया, जबकि तीन फ़म्बल किए और दो की रिकवरी  की। साथी लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े। पैंथर्स लाइन के अनुभवी डिफ़ेंसिव छोर में 5-बार के प्रो बॉलर जेरेड एलेन भी शामिल थे, जो 136 के साथ NFL के सक्रिय करियर सैक लीडर थे, साथ ही डिफ़ेंसिव छोर में कोनी एलियल थे, जिनके पास केवल शुरुआत के 9 में 5 सैक थे। उनके पीछे, पैंथर्स के तीन शुरुआती लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए चुना गया था: थॉमस डेविस और ल्यूक क्युचली। डेविस ने 5½ सैक, चार फ़ोर्स्ड फ़म्बल, और चार इंटरसेप्शन पुरे किए, जबकि कुएक्ली ने टैकल में टीम का नेतृत्व किया (118) दो फ़ोर्स्ड फ़म्बल, और अपने स्वयं के चार पास को इंटरसेप्ट किए। कैरोलिना की सेकेंडरी में प्रो बाउल सुरक्षा में कर्ट कोलमैन थे, जिन्होंने करियर के सबसे अच्छे सात इंटर्सेप्शन के साथ टीम का नेतृत्व किया, जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी विकसित हुए ने चार इंटर्सेप्शन किए, जिनमें से दो टचडाउन के लिए लौटाए गए थे।","11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में संतति का लीडरी किया , जबकि तीन फ़म्बल किए और दो पेन्ट रोग निवृत्ति पेन्ट । यार लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े । पैंथर्स सिलसिला के जानकार डिफ़ेंसिव दामन में 5-बार के प्रो बोलर जेरेड एलेन भी अन्तर्गत थे , जो 136 के इश्तराक NFL के सकर्मक नीवर सैक नेता थे , इश्तराक ही डिफ़ेंसिव दामन में कोनी एलियल थे , जिनके पास केवल शुरुआत के 9 में 5 सैक थे । उनके पीछे , पैंथर्स के तीन पूर्व लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए चुनिंदा गया था : थॉमस डेविस और ल्यूक क्युचली । डेविस ने 5½ सैक , चार फ़ोर्स्ड फ़म्बल , और चार इंटरसेप्शन पुरे किए , जबकि कुएक्ली ने टैकल में फिर्क का नायकत्व किया ( 118 ) दो फ़ोर्स्ड फ़म्बल , और अपने स्वयं के चार पास को इंटरसेप्ट किए । कैरोलिना की सेकेन्डरी में प्रो बाउल संरक्षण में कर्ट कोलमैन थे , जिन्होंने उद्यम के सबसे अच्छे सात इंटर्सेप्शन के साथ बैंड का अगुआई किया , जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी अभ्युदित हुए ने चार इंटर्सेप्शन किए , जिनमें से दो टचडाउन के लिए लौटाए गए थे ।",1,"प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर"
0,"बेशकीमती लम्हे: प्रो बाउल का वो दिन

NFL के इतिहास में कुछ लम्हे ऐसे होते हैं जो खिलाड़ियों के दिलों में हमेशा के लिए बस जाते हैं। ऐसा ही एक लम्हा था जब युवा डिफ़ेंसिव छोर, रवि, ने प्रो बाउल के मैदान पर कदम रखा। यह उसके लिए सिर्फ़ एक खेल नहीं था, बल्कि अनगिनत रातों की मेहनत, पसीने और अटूट लगन का फल था। चारों ओर से खिलाड़ियों की तालियों की गड़गड़ाहट और दर्शकों का उत्साह, एक ऐसी ऊर्जा भर रहा था जो रवि को और भी प्रेरित कर रही थी।

उस मैच में, रवि ने अपनी टीम के डिफ़ेंसिव छोर में असाधारण प्रदर्शन किया। हर पास को रोकने की उसकी कोशिश, हर रन को थामने का उसका जज्बा, सब कुछ काबिले तारीफ़ था। एक महत्वपूर्ण क्षण आया जब विरोधी टीम के क्वार्टरबैक ने एक लंबा पास फेंकने की कोशिश की। रवि, अपने डिफ़ेंसिव छोर में तेज़ी से दौड़ते हुए, हवा में उछला और अविश्वसनीय रूप से गेंद को पकड़ लिया  एक शानदार इंटरसेप्शन! यह प्रो बाउल चयन उसके आत्मविश्वास को आसमान पर ले गया।

मैच के तीसरे क्वार्टर में, जब खेल बराबरी पर था, रवि ने एक बार फिर अपनी छाप छोड़ी। एक आक्रामक रन के दौरान, उसने विरोधी खिलाड़ी के हाथ से गेंद को झटक दिया, जिससे एक फ़ोर्स्ड फ़म्बल हुआ। उसकी टीम के साथियों ने तुरंत गेंद पर कब्ज़ा कर लिया, और यह फ़म्बल किए गए क्षण ने मैच का रुख ही बदल दिया। रवि का यह बाउल डिफ़ेंसिव प्रदर्शन, उसके प्रो बॉलर होने के दावे को और मज़बूत कर रहा था।

उस दिन, रवि ने सिर्फ़ एक मैच नहीं खेला, बल्कि एक कहानी लिखी। एक ऐसी कहानी जिसमें लगन, साहस और टीम वर्क की जीत थी। उसके साथियों ने उसे कंधे पर उठा लिया, यह जानते हुए कि उन्होंने सिर्फ़ एक खिलाड़ी को नहीं, बल्कि एक ऐसे बाउल कॉर्नरबैक को देखा है जो NFL में अपनी पहचान बना चुका है। प्रो बाउल में उसके द्वारा किए गए इंटरसेप्शन और फ़ोर्स्ड फ़म्बल, उन लम्हों में से थे जिन्होंने उसके करियर को हमेशा के लिए बदल दिया। उसने अपने सारे सपने पुरे किए थे, और यह सिर्फ़ शुरुआत थी।","अर्थपूर्ण लम्हे: प्रो बाउल का वो दिन NFL के तवारीख़ में कुछ लम्हे ऐसे होते हैं जो खिलाड़ियों के दिलों में निशिदिन के लिए क़ाबू जाते हैं । ऐसा ही एक छन था जब तरुण डिफ़ेंसिव तीर , रवि , ने प्रो बाउल के क्रीड़ानक पर कदम रखा । यह उसके लिए सिर्फ़ एक खेल नहीं था , बल्कि अनगिनत रातों की मशक्कत , पसीने और अभंजन राग का ताबीर था । चारों ओर से खिलाड़ियों की तालियों की गड़गड़ और दर्शकों का उत्साह , एक ऐसी एनर्जी मृध रहा था जो रवि को और भी ईरित अरत्नि रही थी । उस मैच में , रवि ने अपनी मंडल के डिफ़ेंसिव अवारी में असाधारण संवहन किया । हर मान्य को रोकने की उसकी प्रयास , हर दौड़ को थामने का उसका जज्बा , सब कुछ काबिले अभिवन्दन था । एक महत्वपूर्ण क्षण धात्रेयी जब विरोधी टीम के क्वार्टरबैक ने एक तुंग पास फेंकने पेंट कोशिश पेंट । रवि , अपने डिफ़ेंसिव छोर में बढ़ना से दौड़ते हुए , जगद्बल में उछला और अविश्वस्त रूप से बॉल को पहुंच लिया एक बढ़िया इंटरसेप्शन! यह प्रो बाउल इन्तिख़ाब उसके आत्मविश्वास को आसमान पर ले गया । मैच के तीसरे क्वार्टर में , जब कल्लोल प्रतिमान पर था , रवि ने एक चोट पश्चात् अपनी छाप छोड़ी। एक आक्रामक धाव के दौरान , उसने अरिंद कलाबाज़ के हाथ से गेंद को झटक तमोहपह , जिससे एक फ़ोर्स्ड फ़म्बल हुआ । उसकी फिर्क के साथियों ने एकदम से गेंदुक पर बस नागनासा लिया , और यह फ़म्बल किए गए क्षण ने मैच का रुख ही बदल दिया । रवि का यह बाउल डिफ़ेंसिव निदर्शन , उसके प्रो बालर होने के दावे को और पक्का शुंडा रहा था । उस वार , रवि ने सिर्फ़ एक मैच नहीं खेला , बल्कि एक किस्सा लिखी । एक ऐसी अफसाना जिसमें लगन , साहस और टोली वर्क की जीत थी । उसके साथियों ने उसे कंधे पर अभ्युन्नत लिया , यह जानते हुए कि उन्होंने सिर्फ़ एक खेलाड़ी को नहीं , बल्कि एक ऐसे बाउल कॉर्नरबैक को देखा है जो NFL में अपनी आशनाई बना चुका है । प्रो बाउल में उसके द्वारा किए गए इंटरसेप्शन और फ़ोर्स्ड फ़म्बल , उन लम्हों में से थे जिन्होंने उसके रोजी को निशिवासर के लिए बदल दीप । उसने अपने सारे सपने पुरे किए थे , और यह सिर्फ़ पहला प्रदर्शन थी ।",0,"प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर"
1,"फिर उन्होंने एएफसी चैम्पियनशिप गेम में न्यू इंग्लैंड के 2-अंक के रूपांतरण के प्रयास के एक पास को इंटरसेप्ट करके मौजूदा सुपर बाउल XLIX चैंपियन न्यू इंग्लैंड पैट्रिओट्स को 17 सेकंड रहते हुए 20–18 से हराया। सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद, वे अपने दो प्लेऑफ़ गेम में कोई भी गेम नहीं हारे।","वापस उन्होंने एएफसी चैम्पियनशिप खेल में न्यू इंग्लैंड के 2-अंक के रूपान्तरण के जतन के एक पास को इंटरसेप्ट करके साम्प्रतिक सुपर बाउल XLIX सर्वविजेता न्यू इंग्लैंड पैट्रिओट्स को 17 सेकेंड गेयर रहते हुए 20–18 से हराया । सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद , वे अपने दो प्लेऑफ़ खेल में कोई भी खेल नहीं हारे ।",1,"न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी"
1,"न्यू इंग्लैंड पैट्रिओट्स: बाउल XLIX की महागाथा

न्यू इंग्लैंड का आसमान उस रात किसी तूफ़ान से भी ज़्यादा हसीन लग रहा था। हवा में एक अदम्य उत्साह था, एक ऐसी उम्मीद जो हर दिल में धड़क रही थी। यह सिर्फ एक खेल नहीं था, यह था बाउल XLIX, अमेरिकी फुटबॉल के इतिहास का एक ऐसा अध्याय जिसे न्यू इंग्लैंड पैट्रिओट्स के नाम लिखा जाना था।

सीज़न की शुरुआत से ही यह टीम हर खेल को एक जंग की तरह लड़ रही थी। डिवीजनल राउंड की मुश्किलों को पार करते हुए, उन्होंने पिट्सबर्ग स्टीलर्स जैसी मजबूत टीम को भी पछाड़ दिया था। लेकिन असली इम्तिहान तो अभी बाकी था, वह था फाइनल का मैदान।

गेम में जैसेजैसे समय बीता, तनाव गहराता गया। हर अंक, हर प्वाइंट, एक नए रोमांच को जन्म दे रहा था। अंतिम तीन मिनट, खेल के सबसे नाजुक पल थे। मैदान पर हर खिलाड़ी अपना सब कुछ झोंक रहा था। हर पास, हर टैकल, दर्शकों की धड़कनों को थाम रहा था।

और फिर, वह पल आया। सेकंड रहते, जब उम्मीदें लगभग दम तोड़ चुकी थीं, न्यू इंग्लैंड पैट्रिओट्स ने वह कर दिखाया जिसकी किसी ने कल्पना भी नहीं की थी। अंक बनाकर, उन्होंने खेल का रुख पलट दिया। यह जीत सिर्फ खेल की नहीं थी, यह थी दृढ़ संकल्प, अटूट विश्वास और टीम वर्क की जीत।

न्यू इंग्लैंड पैट्रिओट्स, इस तरह वे XLIX चैंपियन बने। उन्होंने न केवल अपने विरोधियों को हराया, बल्कि उन्होंने हर उस व्यक्ति के दिल को जीता जो इस टीम के लिए चीयर कर रहा था। यह सिर्फ एक जीत नहीं थी, यह एक प्रेरणा थी, एक ऐसी कहानी जो आने वाली पीढ़ियों को सिखाएगी कि कभी हार न मानना ही असली जीत है। वे चैंपियन न्यू इंग्लैंड के असली हीरो बन गए।","न्यू इंग्लैंड पैट्रिओट्स : बाउल XLIX की महागाथा न्यू इंग्लैंड का आसमान उस निशीथिनी किसी तूफान से भी ज़्यादा मनमोहक लग रहा था । प्राणंत में एक अदम्य सरगर्मी था , एक ऐसी उम्मीद जो हर उर में धड़क रही थी । यह सिर्फ एक आलम नहीं था , यह था बाउल XLIX , अमरीकावासी फ़ुटबाल के इतिवृत्त का एक ऐसा अध्याय जिसे न्यू इंग्लैंड पैट्रिओट्स के इस्म अंकित जाना था । सीज़न की शुरुआत से ही यह मण्डली हर किलोल को एक जंग की तरह लर रही थी । डिवीजनल नियत मार्ग की मुश्किलों को दूसरी तरफ करते हुए , उन्होंने पिट्सबर्ग स्टीलर्स जैसी मजबूत सन्तति को भी पछाड़ चिराग था । लेकिन असली एग्जाम तो अभी बचा-खुचा था , वह था फाइनल का मैदा न। खेल में जैसेजैसे दाँव बीता , तनाव गहराता गया । हर गोद , हर शून्य , एक नए पुलक को जन्म दे रहा था । अंतिम तीन सेकेंड , खेल के सबसे तुनुक पल थे । मैदान पर हर प्रहास अपना सब कुछ नोकझोक रहा था । हर अनुमतिप्राप्त , हर टैकल , दर्शकों की धड़कनों को खम्ब रहा था । और फिर , वह पल आगंतुक । सेकंड रहते , जब उम्मीदें लगभग बुद्ध तुड़ाई चुकी थीं , न्यू इंग्लैंड पैट्रिओट्स ने वह शालिक दिखाया जिसकी किसी ने कल्पना शक्ति भी नहीं पेंट थी । अंक बनाकर , उन्होंने खेल का नरकल पलट बत्ती । यह अभिजय सिर्फ खेल की नहीं थी , यह थी निश्चल संकल्प , अखूट अविशङ्का और टीम वर्क की जी त। न्यू इंग्लैंड पैट्रिओट्स , इस किस्म वे XLIX सर्वजेता बने । उन्होंने न केवल अपने विरोधियों को हराया , बल्कि उन्होंने हर उस जन के मनसा को जीता जो इस मंडली के लिए चीयर शुंडा रहा था । यह सिर्फ एक सफलता नहीं थी , यह एक ईरण थी , एक ऐसी क़िस्सा जो आने इंद्रसुत पीढ़ियों को सिखाएगी कि कभी हार न अवरेवना ही मौलिक सफलता है । वे चैंपियन न्यू इंग्लैंड के मूल स्टार बन गए ।",0,"न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी"
2,"वह 39 में उम्र में एक सुपर बाउल खेलने वाले सबसे अधिक उम्र के क्वार्टरबैक भी हैं। पिछला रिकॉर्ड जॉन एलवे के नाम था, जिन्होंने 38 की उम्र में सुपर बाउल XXXIII जीतने में ब्रोंकोस का नेतृत्व किया और वर्तमान में डेनवर के फुटबॉल संचालन के कार्यकारी उपाध्यक्ष और महाप्रबंधक हैं।","वह 39 में आउ में एक सुपर बाउल खेलने वाले सबसे अधिक आउ के क्वार्टरबैक भी हैं । पिछला अभिलेख जॉन एलवे के नाम था , जिन्होंने 38 की आइ में सुपर बाउल XXXIII जीतने में ब्रोंकोस का लीडरशिप किया और वर्तमान में डेनवर के फ़ुटबाल अवधान के एवजी वाइस चेयरमैन और महाप्रबंधक हैं ।",1,"सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र"
2,"एक महानायक की कहानी: सुपर बाउल XXXIII और पैटन मैनिंग

सुपर बाउल XXXIII, एक ऐसा नाम जो फुटबॉल प्रेमियों के दिलों में हमेशा गूंजता है। यह सिर्फ एक खेल नहीं था, बल्कि एक युग का समापन और एक नए महानायक के उदय का प्रतीक था। इस महामुकाबले में, पैटन मैनिंग ने अपनी टीम को जीत दिलाने के लिए वह सब कुछ झोंक दिया जो उनके पास था। उम्र की परवाह किए बिना, मैनिंग ने अपने असाधारण कौशल और अदम्य साहस से विरोधी टीम के छक्के छुड़ा दिए।

इस मैच ने मैनिंग के ""मल्टीपल सुपर"" बाउल खेलने के सफर में एक और सुनहरा अध्याय जोड़ा। यह पहली बार नहीं था कि वह सुपर बाउल के मैदान में थे, लेकिन हर बार उनका प्रदर्शन कुछ नया और अविस्मरणीय होता था। उन्होंने न केवल अपनी टीम को जीत दिलाई, बल्कि ""XXXIII जीतने"" की अपनी महत्वाकांक्षा को भी पूरा किया।

मैनिंग का खेल हमेशा से ही ""अलगअलग टीमों"" के लिए एक चुनौती रहा है। उनकी ""लीड लड़ने"" की क्षमता उन्हें औरों से अलग बनाती है। ""पिछला रिकॉर्ड"" हमेशा ही शानदार रहा है, और हर खेल के साथ वह नए ""रिकॉर्ड"" बनाते रहे। ""जॉन एलवे"" जैसे दिग्गजों की श्रेणी में खड़े होकर, मैनिंग ने साबित कर दिया कि वह भी महानता के हकदार हैं।

यह सिर्फ एक खेल के मैदान की कहानी नहीं है। पैटन मैनिंग आज ""फुटबॉल संचालन"" के क्षेत्र में ""कार्यकारी उपाध्यक्ष"" के तौर पर अपनी सेवाएं दे रहे हैं। ""अधिक उम्र"" में भी, उनका जुनून और खेल के प्रति समर्पण आज भी युवाओं के लिए प्रेरणा का स्रोत है। वह साबित करते हैं कि उम्र सिर्फ एक संख्या है, जब दिल में जुनून हो और इरादे बुलंद हों। सुपर बाउल XXXIII उनकी इस अदम्य भावना का एक जीवंत प्रमाण है, एक ऐसी कहानी जो आने वाली पीढ़ियों को प्रेरित करती रहेगी।","एक महानायक की कथानक : सुपर बाउल XXXIII और पैटन मैनिंग सुपर बाउल XXXIII , एक ऐसा आन-बान जो फ़ुटबॉल प्रेमियों के दिलों में चौबीसों घंटे गूंजता है । यह सिर्फ एक कलोल नहीं था , बल्कि एक वर्ष का समापन और एक नए महानायक के उद्गम का आसार था । इस महामुकाबले में , पैटन मैनिंग ने अपनी मंडली को अभिजय दिलाने के लिए वह सब कुछ सरगरमी बाती जो उनके पास था । जीवन काल की लिहाज़ किए बिना , मैनिंग ने अपने असाधारण सिद्धि और अदम्य साहस से बैरी टीम के छक्के छुड़ा दिए । इस मैच ने मैनिंग के "" मल्टीपल सुपर "" बाउल खेलने के रिक्त स्थान में एक और हैम पाठ मिथुन । यह पहला बेर नहीं था कि वह सुपर बाउल के मैदान में थे , लेकिन हर बेर उनका प्रदर्शन कुछ अभिनव और अविस्मरणीय हवि दाता था । उन्होंने न केवल अपनी फिर्क को अभिभावन दिलाई , बल्कि "" XXXIII जीतने "" की अपनी बुलंदपरवाजी को भी तमाम किया । मैनिंग का मौज मस्ती सर्वदैव से ही "" अलगअलग टीमों "" के लिए एक आहु रहा है । उनकी "" बढ़त लड़ने "" की क्षमता उन्हें औरों से अलग से बनाती है । "" अपर अभिलेख "" हमेशा ही भव्य रहा है , और हर मौजमस्ती के साथ वह नए "" अभिलेख "" बनाते रहे । ""जॉन एलवे "" जैसे दिग्गजों की कैटिगरी में खड़े होकर , मैनिंग ने सिद्ध कर तिमिरहर कि वह भी प्रभुता के हकदार हैं । यह सिर्फ एक अर्गल के मैदान की रिवायत नहीं है । पैटन मैनिंग आज "" फुटबॉल अवधान "" के प्रभाव-क्षेत्र में "" कार्यपालक वाइस चेयरमैन "" के तौर पर अपनी सेवाएं दे रहे हैं । "" अधिक ज़िन्दगानी "" में भी , उनका जुनून और केलि के प्रति सरेंडर वर्तमान भी युवाओं के लिए प्रेरणा का स्रोत है । वह सिद्ध करते हैं कि उम्र सिर्फ एक संख्या है , जब मानस में जनून हो और इरादे ऊंचा हों । सुपर बाउल XXXIII उनकी इस अदम्य भावना का एक जीता जागता तसदीक है , एक ऐसी रिवायत जो आने कपीन्द्र पीढ़ियों को प्रहित करती रहेगी ।",0,"सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र"
4,"अगले खेल में, मिलर गेंद को न्यूटन से दूर ले गए, और कई खिलाड़ियों ने इसके लिए प्रयास करने के बाद, इसने पीछे की तरफ एक लंबा उछाल लिया और इसे वार्ड द्वारा प्राप्त किया गया,  जिसने इसे पाँच यार्ड की दूरी पर वापस भेजा जो पैंथर्स के 4-यार्ड लाइन के अंदर था। हालाँकि कई खिलाडियों ने इसे प्राप्त करने के लिए समूह में प्रयास किया, लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की कमी के कारण बाद में उनकी भारी आलोचना हुई। इस बीच, तीन खेलों के लिए डेनवर के आक्रमण को अंत छोर से बाहर बाहर रखा गया था, लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए पेनल्टी ने ब्रोंकोस को और भी परेशान कर दिया। तब एंडरसन ने 2-यार्ड टचडाउन रन पर अंक अर्जित किए और मैनिंग ने 2-पॉइंट के रूपांतरण के लिए बेनी फ़ाउलर को पास दिया, 3:08 समय रहते हुए डेनवर को 24-10 की बढ़त दी और खेल को लगभग जीत लिया। कैरोलिना ने दो और ड्राइव का प्रयास किया, लेकिन हर एक पर फ़र्स्ट डाउन पाने करने में असफल रहे।","अगले आमोद-प्रमोद में , मिलर गेंद को आइजक न्यूटन से दूर ले गए , और कई खिलाड़ियों ने इसके लिए प्रयास करने के बाद , इसने उपरान्त की तरफ एक लंब उछार लिया और इसे रोगी कक्ष द्वारा हासिल किया गया , जिसने इसे पाँच गज़ की फरक पर एक बार और भेजा जो पैंथर्स के 4-यार्ड तांता के अंदर था । हालाँकि कई खिलाडियों ने इसे प्राप्त करने के लिए समष्टि में प्रयत्न किया , लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की खराबी के कारण उपरान्त में उनकी भयावन समालोचना हुई । इस फ़र्क़ , तीन खेलों के लिए डेनवर के आक्रमण को परिणाम झालर से ऊपर ऊपर रखा गया था , लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए जुर्माना ने ब्रोंकोस को और भी परेशान सूचिका दिवली । तब एंडरसन ने 2-यार्ड टचडाउन रन पर आकड़ा कमाया किए और मैनिंग ने 2-पॉइंट के रूपान्तरण के लिए बेनी फ़ाउलर को पास ढेबरी , 3:08 वक़्त रहते हुए डेनवर को 24-10 की बढ़त दी और मौज मस्ती को करीब-करीब जय लिया । कैरोलिना ने दो और वाहनीय सैर का जिगीष किया , लेकिन हर एक पर फ़र्स्ट जॉन एल एच डाउन पाने करने में निरर्थक रहे ।",1,"-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड"
4,"अंतिम पलों का रोमांच: एक अविस्मरणीय संघर्ष

तीसरे क्वार्टर के अंतिम क्षणों में, कैरोलिना पैंथर्स के खेल में एक अनपेक्षित मोड़ आ गया। 3:08 के समय के साथ, मिलर की गेंद ने एक खतरनाक मोड़ लिया। इसने पीछे की ओर एक लंबी छलांग लगाई, जिसने खेल की दिशा बदलने की क्षमता रखी। यह वही खेल था जिसने पिछले तीन खेलों में टीम को असफलता का सामना कराया था। यह एक ऐसी वाली ड्राइव थी जिसे किसी भी कीमत पर सफल होना था।

कैरोलिना के खिलाड़ियों के चेहरे पर तनाव साफ दिख रहा था। हर प्रयास महत्वपूर्ण था। पाँच यार्ड की दूरी, जिसे पार करना अक्सर आसान लगता है, आज पहाड़ जैसी लग रही थी। चौथी कोशिश में, गेंद रिसीवर तक पहुँचने से ठीक पहले, एक पल के लिए हवा में ठहरी। यह वह क्षण था जब दर्शकों की सांसें थम गईं।

4:51 के समय के साथ, अगले खेल की रणनीति तय की जा रही थी। कैरोलिना को हर हाल में बॉल प्राप्त करनी थी। लेकिन किस्मत ने एक बार फिर उनका इम्तिहान लिया। गेंद बाहर बाहर छिटक गई, जिससे खेल में एक और निराशाजनक अध्याय जुड़ गया। यह असफलता, पिछले तीन खेलों की तरह, कैरोलिना की उम्मीदों पर भारी पड़ी।

लेकिन खेल यहीं खत्म नहीं हुआ। जैसे ही चौथा क्वार्टर शुरू हुआ, हवा में एक नई ऊर्जा दौड़ गई। एक यार्ड लाइन के करीब, कैरोलिना ने एक अंतिम, जोरदार प्रयास किया। और फिर, वह पल आया। मिलर की एक सटीक थ्रो, और एक असाधारण कैच! एक यार्ड टचडाउन! स्टेडियम तालियों की गड़गड़ाहट से गूंज उठा। यह एक ऐसी जीत थी जिसने साबित कर दिया कि हार मानने वालों को ही हार मिलती है, जो लड़ते हैं, वे जीतते हैं, चाहे परिस्थितियाँ कितनी भी कठिन क्यों न हों। यह खेल कैरोलिना के इतिहास में एक यादगार क्षण बन गया।","अंतिम पलों का रोमांच: एक स्मरणार्थ संघर्ष तीसरे क्वार्टर फ़ाइनल के अंतिम क्षणों में , कैरोलिना पैंथर्स के सहज काम में एक अनपेक्षित अवारी आ गया । 3:08 के घड़ी के साथ , मिलर की बाल ने एक खतरनाक घुमाव लिया । इसने काम से की ओर एक लंबी छलांग पोताई , जिसने खेल की दिशा बदलने की माद्दा रखी । यह वही किलोल था जिसने पिछले तीन खेलों में मण्डली को अजै का सामना कराया था । यह एक ऐसी वाली राइड थी जिसे किसी भी आघ पर कामयाब होना था । कैरोलिना के खिलाड़ियों के चेहरे पर स्ट्रेस खुल्लम खुल्ला दिख रहा था । हर प्रयत्न महत्वपूर्ण था । पाँच यार्ड की दूरी , जिसे दूसरी तरफ करना अकसर आसान लगता है , वर्तमान काल दरीभृत जैसी लग रही थी । ४था कोशिश में , गेंद रिसीवर तक पहुँचने से ठीक प्रारम्भ में , एक पल के लिए मरुत में ठहरी। यह वह निमिष था जब दर्शकों की सांसें थम गईं । 4:51 के जोग के साथ , अगले मौज-मस्ती की रणनीति अवार्य की जा रही थी । कैरोलिना को हर प्रवृत्ति में बॉल डांस प्राप्त करनी थी । लेकिन इक़बाल ने एक बार फिर उनका इम्तहान लिया । क्रिकेट बाल ऊपर ऊपर छिटक गई , जिससे मौज मस्ती में एक और निराशाजनक अध्याय जुड़ गया । यह विफलता , पिछले तीन खेलों की तरह , कैरोलिना की उम्मीदों पर गंभीर पड़ी । लेकिन खेल यहीं परिणीत नहीं हुआ । जैसा ही चौथा क्वार्टर प्रवृत्ति हुआ , पवन में एक नई ऊर्जा दौड़ गई । एक यार्ड लाइन के करीब , कैरोलिना ने एक आखिरी , ज़ोर उद्योग किया । और फिर , वह पपोटा आया । मिलर की एक एकदम सही अपक्षेपण , और एक असाधारण कैच! एक यार्ड टचडाउन! स्टेडियम तालियों की गड़गड़ से गूँज उठा। यह एक ऐसी जय थी जिसने प्रमाणित शुण्डादण्ड शिखी कि अवज्ञा मानने वालों को ही अवज्ञा मिलती है , जो लड़ते हैं , वे जीतते हैं , चाहे परिस्थितियाँ कितनी भी अटपटा क्यों न हों । यह खेल कैरोलिना के इतिवृत्त में एक यादगार क्षण आरन गया ।",0,"-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड"
