id,text,text_perturb,label,summary
0,"11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में टीम का नेतृत्व किया, जबकि तीन फ़म्बल किए और दो की रिकवरी  की। साथी लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े। पैंथर्स लाइन के अनुभवी डिफ़ेंसिव छोर में 5-बार के प्रो बॉलर जेरेड एलेन भी शामिल थे, जो 136 के साथ NFL के सक्रिय करियर सैक लीडर थे, साथ ही डिफ़ेंसिव छोर में कोनी एलियल थे, जिनके पास केवल शुरुआत के 9 में 5 सैक थे। उनके पीछे, पैंथर्स के तीन शुरुआती लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए चुना गया था: थॉमस डेविस और ल्यूक क्युचली। डेविस ने 5½ सैक, चार फ़ोर्स्ड फ़म्बल, और चार इंटरसेप्शन पुरे किए, जबकि कुएक्ली ने टैकल में टीम का नेतृत्व किया (118) दो फ़ोर्स्ड फ़म्बल, और अपने स्वयं के चार पास को इंटरसेप्ट किए। कैरोलिना की सेकेंडरी में प्रो बाउल सुरक्षा में कर्ट कोलमैन थे, जिन्होंने करियर के सबसे अच्छे सात इंटर्सेप्शन के साथ टीम का नेतृत्व किया, जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी विकसित हुए ने चार इंटर्सेप्शन किए, जिनमें से दो टचडाउन के लिए लौटाए गए थे।","11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में खिलाड़ी दल का नेतृत्त्व किया , जबकि तीन फ़म्बल किए और दो पेन्ट रिकव्री पेन्ट । यार लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े । पैंथर्स लाइन के तजुर्बेकार डिफ़ेंसिव आँचर में 5-बार के प्रो बोलर जेरेड एलेन भी अंतर्भूत थे , जो 136 के साथ NFL के तेज शगल सैक पुरोगामी थे , साथ ही डिफ़ेंसिव आँचर में कोनी एलियल थे , जिनके पास केवल अभ्युदय के 9 में 5 सैक थे । उनके पीछे , पैंथर्स के तीन आरंभी लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए इनागिना गया था : थॉमस डेविस और ल्यूक क्युचली । डेविस ने 5½ सैक , चार फ़ोर्स्ड फ़म्बल , और चार इंटरसेप्शन पुरे किए , जबकि कुएक्ली ने टैकल में यूथ का अगुआई किया ( 118 ) दो फ़ोर्स्ड फ़म्बल , और अपने स्वयं के चार पास को इंटरसेप्ट किए । कैरोलिना की सेकेन्डरी में प्रो बाउल सेक्योरटी में कर्ट कोलमैन थे , जिन्होंने जोग के सबसे अच्छे सात इंटर्सेप्शन के साथ फिरका का नेतृत्त्व किया , जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी सुविकसित हुए ने चार इंटर्सेप्शन किए , जिनमें से दो टचडाउन के लिए लौटाए गए थे ।",1,"प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर"
0,"इन खिलाड़ियों को अपनी टीम के लिए बहुत महत्वपूर्ण माना जाता है, और वे अपने साथियों के साथ मिलकर खेल को जीतने के लिए पूरी तरह से समर्पित रहते हैं। प्रो बाउल में फ़ोर्स्ड फ़म्बल एक महत्वपूर्ण तत्व है, जो खिलाड़ियों को अपने प्रतिद्वंद्वियों को रोकने में मदद करता है। इन खिलाड़ियों को अपने फ़म्बल को सही तरीके से करने में मदद करने के लिए उनकी टीम के प्रशिक्षक उनकी प्रशिक्षण में मदद करते हैं। बाउल डिफ़ेंसिव क","इन खिलाड़ियों को अपनी बैन्ड के लिए अनल्प महत्वपूर्ण माना जाता है , और वे अपने साथियों के साथ संग-संग कुलेल को जीतने के लिए पूड़ी तर्ज से समर्पित रहते हैं । प्रो बाउल में फ़ोर्स्ड फ़म्बल एक बड़ा-बड़ा सत्त्व है , जो खिलाड़ियों को अपने प्रतिद्वंद्वियों को रोकने में राहत कर्त्ता है । इन खिलाड़ियों को अपने फ़म्बल को मुफीद तरीके से करने में कुमक करने के लिए उनकी जूथ के प्रशिक्षक उनकी प्रशिक्षा में कुमक करते हैं । बाउल डिफ़ेंसिव क",0,"प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर"
1,"फिर उन्होंने एएफसी चैम्पियनशिप गेम में न्यू इंग्लैंड के 2-अंक के रूपांतरण के प्रयास के एक पास को इंटरसेप्ट करके मौजूदा सुपर बाउल XLIX चैंपियन न्यू इंग्लैंड पैट्रिओट्स को 17 सेकंड रहते हुए 20–18 से हराया। सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद, वे अपने दो प्लेऑफ़ गेम में कोई भी गेम नहीं हारे।","उपरांत उन्होंने एएफसी चैंपियनशिप खेल में न्यू इंग्लैंड के 2-अंक के परिणति के प्रयास के एक पास को इंटरसेप्ट करके आधुनिक सुपर बाउल XLIX सर्वजेता न्यू इंग्लैंड पैट्रिओट्स को 17 सेकन्ड गेयर रहते हुए 20–18 से हराया । सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद , वे अपने दो प्लेऑफ़ खेल में कोई भी खेल नहीं हारे ।",1,"न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी"
1,"यहाँ के अंतिम तीन खिलाड़ियों ने अपनी क्षमता को पूरी तरह से प्रदर्शित किया और अंक बनाकर अपनी जगह मजबूत की। गेम में उनका सेकंड रूप से रहने का निर्णय, जिसे उन्होंने अंतिम तीन मिनट में बदल दिया, ने उनके चैंपियन बनने की दिशा में एक महत्वपूर्ण मोड़ बनाया। इस निर्णय ने उन्हें अपनी टीम के साथ एकता की भावना को बढ़ावा दिया और अंततः, उन्होंने इंग्लैंड पैट्रिओट्स को चैंपियन बनाकर इतिहास रचा। यह विजय न्यू इंग्लैंड के लिए एक बड़ी उपलब्धि थी, जिसने अपने स्थानीय खिलाड़ियों क","यहाँ के आख़री तीन खिलाड़ियों ने अपनी सत्त्व को पूरी रूप से आदर्शित किया और अंक बनाकर अपनी जगह मजबूत की । खेल में उनका छनक रूप से रहने का निर्णय , जिसे उन्होंने समाप्तिक तीन मिनट में बदल दीप , ने उनके सर्वविजेता बनने की शौच में एक महत्वपूर्ण मोड़ बनाया । इस निर्णय ने उन्हें अपनी टीम के साथ एकता की ख़्याल को हिम्मत आफ़ज़ाई तिमिररिपु और आख़िरकार , उन्होंने इंग्लैंड पैट्रिओट्स को चैंपियन बनाकर पूर्ववृत्त रचा। यह विजय न्यू इंग्लैंड के लिए एक बरौरी आलंभ थी , जिसने अपने लोकल खिलाड़ियों क",0,"न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी"
2,"वह 39 में उम्र में एक सुपर बाउल खेलने वाले सबसे अधिक उम्र के क्वार्टरबैक भी हैं। पिछला रिकॉर्ड जॉन एलवे के नाम था, जिन्होंने 38 की उम्र में सुपर बाउल XXXIII जीतने में ब्रोंकोस का नेतृत्व किया और वर्तमान में डेनवर के फुटबॉल संचालन के कार्यकारी उपाध्यक्ष और महाप्रबंधक हैं।","वह 39 में जिन्दगी में एक सुपर बाउल खेलने वाले सबसे अधिक जिन्दगी के क्वार्टरबैक भी हैं । पिछला रेकॉर्ड जॉन एलवे के विरुद था , जिन्होंने 38 की आयु काल में सुपर बाउल XXXIII जीतने में ब्रोंकोस का नेतृत्त्व किया और वर्तमान में डेनवर के फुटबाल अवधान के कार्यकारी वाइस चेयरमैन और महाप्रबंधक हैं ।",1,"सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र"
2,"यह जीत, उम्र में उनकी सबसे बड़ी उपलब्धि थी, और यह उनके करियर के लिए एक प्रमुख मील का पत्थर साबित हुई। पैटन मैनिंग ने अपनी टीम को अलग-अलग टीमों से निपटने के लिए तैयार किया, और उनकी रणनीति ने उन्हें पिछले रिकॉर्ड को तोड़ने में मदद की। उनकी टीम ने जॉन एलवे, जो फुटबॉल संचालन में एक प्रतिष्ठित नाम है, की रणनीति का पालन किया, और उनकी प्रतिभा ने उन्हें सुपर बाउल की जीत में मदद की। पैटन मैनिंग की जीत ने उन्हें अधिक उम्र में भी सुपर बाउल खेलने के लिए प्रेरित किया, और यह उनके लिए एक महत्वपूर्ण मील का पत्थर साबित हुई। उनकी टीम ने","यह जीत , उम्र में उनकी सबसे बरी उपलब्धि थी , और यह उनके कैरियर के लिए एक चूड़ा मील का प्रस्तर प्रमाणित हुई । पैटन मैनिंग ने अपनी संतति को अलग-अलग टीमों से निपटने के लिए कटिबद्ध किया , और उनकी युद्धनीति ने उन्हें पिछले रिकॉर्ड को तोड़ने में शिष्टि पेंट । उनकी यूथ ने जॉन एलवे , जो फुटबॉल संचालन में एक प्रतिष्ठित इफ्तखार है , की युद्धनीति का पालन किया , और उनकी अर्कत्व ने उन्हें सुपर बाउल की अभिजय में शिकरत की । पैटन मैनिंग की फतह ने उन्हें अधिक उम्र में भी सुपर बाउल खेलने के लिए प्रवर्तित किया , और यह उनके लिए एक कीमती अर्धक्रोश का अश्म प्रमाणित हुई । उनकी मंडल ने",0,"सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र"
3,"अगले खेल में, मिलर गेंद को न्यूटन से दूर ले गए, और कई खिलाड़ियों ने इसके लिए प्रयास करने के बाद, इसने पीछे की तरफ एक लंबा उछाल लिया और इसे वार्ड द्वारा प्राप्त किया गया,  जिसने इसे पाँच यार्ड की दूरी पर वापस भेजा जो पैंथर्स के 4-यार्ड लाइन के अंदर था। हालाँकि कई खिलाडियों ने इसे प्राप्त करने के लिए समूह में प्रयास किया, लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की कमी के कारण बाद में उनकी भारी आलोचना हुई। इस बीच, तीन खेलों के लिए डेनवर के आक्रमण को अंत छोर से बाहर बाहर रखा गया था, लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए पेनल्टी ने ब्रोंकोस को और भी परेशान कर दिया। तब एंडरसन ने 2-यार्ड टचडाउन रन पर अंक अर्जित किए और मैनिंग ने 2-पॉइंट के रूपांतरण के लिए बेनी फ़ाउलर को पास दिया, 3:08 समय रहते हुए डेनवर को 24-10 की बढ़त दी और खेल को लगभग जीत लिया। कैरोलिना ने दो और ड्राइव का प्रयास किया, लेकिन हर एक पर फ़र्स्ट डाउन पाने करने में असफल रहे।","अगले खेल में , मिलर गेंदुक को इसाक न्यूटन से दूर ले गए , और कई खिलाड़ियों ने इसके लिए उजवास करने के फिर , इसने पीछे की तरफ एक ऊँचा उच्छलन लिया और इसे रोगी कक्ष द्वारा मिला हुआ किया गया , जिसने इसे पाँच यार्ड की टप्पा पर एक बार फिर दिमाग जो पैंथर्स के 4-यार्ड लाइन के अंदर था । हालाँकि कई खिलाडियों ने इसे अधिगत करने के लिए समूह में जतन किया , लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की उछीड़ के कारण अथ में उनकी कुपाच्य टीका-टिप्पणी हुई । इस बीच , तीन खेलों के लिए डेनवर के आरोह को अत्यय किनार से ऊपर ऊपर रखा गया था , लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए अर्थदण्ड ने ब्रोंकोस को और भी परेशान शुंड सारंग । तब एंडरसन ने 2-यार्ड टचडाउन रन पर प्वाइंट कमाया किए और मैनिंग ने 2-पॉइंट के परिणति के लिए बेनी फ़ाउलर को पास तिमिररिपु , 3:08 व्यक्तभुज रहते हुए डेनवर को 24-10 की बढ़त दी और खेल कूद को करीब जयश्री लिया । कैरोलिना ने दो और राइड का उद्यम किया , लेकिन हर एक पर फ़र्स्ट जॉन एल एच डाउन पाने करने में बेनतीजा रहे ।",1,"-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड"
3,"एक टीम ने अपने खिलाड़ियों को प्रोत्साहित करने के लिए ""मिलर गेंद"" की शुरुआत की, जो एक विशेष गेंद थी जिसे खेलने में मुश्किल थी। लेकिन टीम ने इस चुनौती को स्वीकार कर लिया और अपने खेल को शुरू किया। पहले खेल में, टीम ने अपने खिलाड़ियों को यार्ड लाइन तक पहुंचने के लिए प्रोत्साहित किया, लेकिन वे असफल रहे। उन्होंने अपने पूरे प्रयास के साथ खेला, लेकिन अंत में उन्हें 3:08 मिनट में ही वाली ड्राइव प्राप्त हुई। अगले खेल में, टीम ने अपने खिलाड़ियों को प","एक गुट ने अपने खिलाड़ियों को प्रोत्साहित करने के लिए "" मिलर क्रिकेट बाल "" की शुरुआत की , जो एक मुख्य रूप से क्रिकेट बाल थी जिसे खेलने में दुश्वारी थी । लेकिन टोली ने इस आहु को स्वीकार कर लिया और अपने खेल को श्रीगणेश किया । प्रथमतः खेल में , गुट ने अपने खिलाड़ियों को गज लाइन तक पहुंचने के लिए प्रोत्साहित किया , लेकिन वे निष्फल रहे । उन्होंने अपने पूरे जद्दोजहद के साथ खेला , लेकिन सफाया में उन्हें 3:08 मिनट में ही सुग्रीवाग्रज ड्राइव उपार्जित हुई । अगले कुलेल में , गिरोह ने अपने खिलाड़ियों को प",0,"-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड"
4,"वोज्शिएक बोगसुलावस्की थियेटर (1922–26), ""पोलिश स्मारकीय थिएटर"" का सबसे अच्छा उदाहरण था। 1930 के दशक के मध्य से, महान रंगमंच की इमारत ने अभिनय विभाग और एक मंच निर्देशन विभाग युक्त नाटकीय कला की उपति इंस्टीट्यूट - ड्रामाटिक कला की पहली राज्य-संचालित अकादमी को आश्रय दिया।","वोज्शिएक बोगसुलावस्की थियेटर ( 1922–26 ) , "" पोलिश स्मारकीय थिएटर "" का सबसे ठीकठाक दृष्टांत था । 1930 के दशक के मध्य से , महान रङ्गस्थल की भवन ने अभिनय तक़्सीम और एक मंच निर्देशन तक़्सीम संसृष्ट नाटकीय कला की उपति इंस्टीट्यूट - ड्रामाटिक कला की १ला राज्य-संचालित अकादमी को आश्रय दीपक ।",1,"ड्रामाटिक कला, ओरगॉस्क सास्की, साहित्यिक कैबरे, ""पोलिश स्मारकीय, उदाहरण था।, महान रंगमंच, उपति इंस्टीट्यूट, आश्रय दिया।, समर थियेटर, कॉम्प्लेक्स में, में मोमस, पहली साहित्यिक, नाटकीय कला, पहली राज्य-संचालित, सास्की (सैक्सन"
4,"यह साहित्यिक कैबरे के समान है, लेकिन इसमें नाटकीय कला का मिश्रण है जो दर्शकों को आकर्षित करता है। पहली बार, यह साहित्यिक कैबरे के रूप में 1980 के दशक में शुरू हुआ था, लेकिन अब यह एक विस्तृत रूप ले चुका है जिसमें महान रंगमंच की विशेषताएं हैं। यह संस्थान उपति इंस्टीट्यूट और समर थियेटर के साथ मिलकर काम करता है, जो कलाकारों को अपनी कला को विकसित करने का मौका देता है। ओरगॉस्क सास्की के बारे में पहली बात यह है कि यह संस्थान पोलिश स्मारक","यह साहित्यिक कैबरे के समान है , लेकिन इसमें नाटकीय रचितकृति का अपमिश्रण है जो दर्शकों को आकृष्ट कर्त्ता है । १ली मद्यशाला , यह साहित्यिक कैबरे के अनुहार में 1980 के दशक में आरब्ध हुआ था , लेकिन अब यह एक विस्तृत अनुहार ले चुका है जिसमें आली रंगभूमि की विशेषताएं हैं । यह संस्थान उपति इंस्टीट्यूट और समर थियेटर के साथ इकत्र प्रयोजन कर्त्ता है , जो कलाकारों को अपनी शशिखंड को विकसित करने का मौक़ा-ए-वारदात देता है । ओरगॉस्क सास्की के बारे में १ला खूबी यह है कि यह संस्थान पोलिश स्मारक",0,"ड्रामाटिक कला, ओरगॉस्क सास्की, साहित्यिक कैबरे, ""पोलिश स्मारकीय, उदाहरण था।, महान रंगमंच, उपति इंस्टीट्यूट, आश्रय दिया।, समर थियेटर, कॉम्प्लेक्स में, में मोमस, पहली साहित्यिक, नाटकीय कला, पहली राज्य-संचालित, सास्की (सैक्सन"
