id,text,text_perturb,label,summary
0,"11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में टीम का नेतृत्व किया, जबकि तीन फ़म्बल किए और दो की रिकवरी  की। साथी लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े। पैंथर्स लाइन के अनुभवी डिफ़ेंसिव छोर में 5-बार के प्रो बॉलर जेरेड एलेन भी शामिल थे, जो 136 के साथ NFL के सक्रिय करियर सैक लीडर थे, साथ ही डिफ़ेंसिव छोर में कोनी एलियल थे, जिनके पास केवल शुरुआत के 9 में 5 सैक थे। उनके पीछे, पैंथर्स के तीन शुरुआती लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए चुना गया था: थॉमस डेविस और ल्यूक क्युचली। डेविस ने 5½ सैक, चार फ़ोर्स्ड फ़म्बल, और चार इंटरसेप्शन पुरे किए, जबकि कुएक्ली ने टैकल में टीम का नेतृत्व किया (118) दो फ़ोर्स्ड फ़म्बल, और अपने स्वयं के चार पास को इंटरसेप्ट किए। कैरोलिना की सेकेंडरी में प्रो बाउल सुरक्षा में कर्ट कोलमैन थे, जिन्होंने करियर के सबसे अच्छे सात इंटर्सेप्शन के साथ टीम का नेतृत्व किया, जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी विकसित हुए ने चार इंटर्सेप्शन किए, जिनमें से दो टचडाउन के लिए लौटाए गए थे।","11 प्रो बाउल डिफ़ेंसिव टैकल के साथ कावन शॉर्ट ने सैक में मंडल का लीडरी किया , जबकि तीन फ़म्बल किए और दो पेन्ट रिकव्री पेन्ट । बाँधव लाइनमैन मारिओ एडिसन ने 6½ सैक जोड़े । पैंथर्स शृंखला के तजरबाकार डिफ़ेंसिव पश्ता में 5-बार के प्रो गेंदबाज जेरेड एलेन भी शामिल थे , जो 136 के संग NFL के क्रियाशील व्यवसाय सैक अंगी थे , संग ही डिफ़ेंसिव पश्ता में कोनी एलियल थे , जिनके पास केवल प्रस्ताव के 9 में 5 सैक थे । उनके पीछे , पैंथर्स के तीन प्राथमिक लाइनबैकर्स में से 2 को भी प्रो बाउल में खेलने के लिए चयन कृत गया था : थॉमस डेविस और ल्यूक क्युचली । डेविस ने 5½ सैक , चार फ़ोर्स्ड फ़म्बल , और चार इंटरसेप्शन पुरे किए , जबकि कुएक्ली ने टैकल में टोली का नेतृत्त्व किया ( 118 ) दो फ़ोर्स्ड फ़म्बल , और अपने स्वयं के चार पास को इंटरसेप्ट किए । कैरोलिना की सेकेन्डरी में प्रो बाउल हिफाजत में कर्ट कोलमैन थे , जिन्होंने जीवन के सबसे अच्छे सात इंटर्सेप्शन के साथ दल का रहनुमाई किया , जबकि 88 टैकल भी पुरे किए और प्रो बाउल कॉर्नरबैक जोश नॉर्मन जो सीज़न के दौरान एक शटडाउन कार्नर के रूप में भी उच्छ्वसित हुए ने चार इंटर्सेप्शन किए , जिनमें से दो टचडाउन के लिए लौटाए गए थे ।",1,"प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर"
0,"प्रो बाउल के दिन, जब टीम के छोर में एक बड़ा मोमेंट आता है, सभी नजरें उस एक बाउल डिफ़ेंसिव पर होती है। यह एक बाउल कॉर्नरबैक था, जो न केवल फ़ोर्स्ड फ़म्बल किए लेकिन अपने इंटर्सेप्शन किए के लिए भी जाना जाता है। इस दिन, जब टीम ने प्रो बॉलर के रूप में अपने बाउल सुरक्षा को पुरे किए, सभी नजरें उस छोर में फ़ोर्स्ड फ़म्बल के बाद उतरे एक बाउल चयन पर थीं। यह एक ऐसा मोमेंट था जो NFL में एक बाउल डिफ़ेंसिव के लिए एक बड़ा अवसर था।

एक बाउल कॉर्नरबैक ने अपने छोर में एक बड़ा मोमेंट बनाया, जिसे लोग अपने दिल में बर्बर रखते हैं। उस दिन, जब टीम ने चार प्रो के रूप में अपने बाउल सुरक्षा को पुरे किए, सभी नजरें उस छोर में फ़ोर्स्ड फ़म्बल के बाद उतरे एक बाउल चयन पर थीं। यह एक ऐसा दिन था जब टीम ने अपने बाउल डिफ़ेंसिव के लिए एक बड़ा अवसर बनाया।

इस दिन के छोर में, एक बाउल कॉर्नरबैक ने अपने बाउल चयन के साथ एक बड़ा मोमेंट बनाया, जो एक बाउल सुरक्षा के रूप में जाना जाता है। यह एक ऐसा दिन था जब टीम ने अपने बाउल डिफ़ेंसिव के लिए एक बड़ा अवसर बनाया।","प्रो बाउल के व्युष्ट , जब मण्डल के वेला में एक डटकर मोमेंट आता है , सभी नजरें उस एक बाउल डिफ़ेंसिव पर होती है । यह एक बाउल कॉर्नरबैक था , जो न केवल फ़ोर्स्ड फ़म्बल किए लेकिन अपने इंटर्सेप्शन किए के लिए भी जान चली जाना जाता है । इस अह , जब मण्डली ने प्रो बॉलर के रूप में अपने बाउल सेक्योरिटी को पुरे किए , सभी नजरें उस अँचरा में फ़ोर्स्ड फ़म्बल के बाद उतरे एक बाउल इन्तिख़ाब पर थीं । यह एक ऐसा मोमेंट था जो NFL में एक बाउल डिफ़ेंसिव के लिए एक मूर्धन्य अमल था । एक बाउल कॉर्नरबैक ने अपने साहिल में एक कबीर मोमेंट बनाया , जिसे जगत् अपने असह में बर्बर रखते हैं । उस वेला , जब फिरका ने चार प्रो के रूप में अपने बाउल सिक्युरिटी को पुरे किए , सभी नजरें उस आँचल में फ़ोर्स्ड फ़म्बल के बाद उतरे एक बाउल वरण पर थीं । यह एक ऐसा दिन था जब फिर्क ने अपने बाउल डिफ़ेंसिव के लिए एक बहुल व्यक्तभुज बनाया । इस दिहाड़ी के तीर में , एक बाउल कॉर्नरबैक ने अपने बाउल इंतखाब के साथ एक मूर्द्धन्य मोमेंट बनाया , जो एक बाउल संरक्षण के रूप में डूबना जाता है । यह एक ऐसा दिव था जब मण्डल ने अपने बाउल डिफ़ेंसिव के लिए एक डटकर अवसर बनाया ।",0,"प्रो बाउल, पुरे किए, डिफ़ेंसिव छोर, फ़ोर्स्ड फ़म्बल, में टीम, छोर में, NFL में, बाउल डिफ़ेंसिव, फ़म्बल किए, बाउल चयन, बाउल सुरक्षा, बाउल कॉर्नरबैक, इंटर्सेप्शन किए, चार प्रो, प्रो बॉलर"
1,"फिर उन्होंने एएफसी चैम्पियनशिप गेम में न्यू इंग्लैंड के 2-अंक के रूपांतरण के प्रयास के एक पास को इंटरसेप्ट करके मौजूदा सुपर बाउल XLIX चैंपियन न्यू इंग्लैंड पैट्रिओट्स को 17 सेकंड रहते हुए 20–18 से हराया। सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद, वे अपने दो प्लेऑफ़ गेम में कोई भी गेम नहीं हारे।","अनंतर उन्होंने एएफसी चैंपियनशिप खेल में न्यू इंग्लैंड के 2-अंक के परिणति के यत्न के एक पास को इंटरसेप्ट करके मौजूदा सुपर बाउल XLIX सर्वविजेता न्यू इंग्लैंड पैट्रिओट्स को 17 क्षण रहते हुए 20–18 से हराया । सीज़न के दौरान मैनिंग की इंटर्सेप्शन की समस्याओं के बावजूद , वे अपने दो प्लेऑफ़ खेल में कोई भी खेल नहीं हारे ।",1,"न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी"
1,"न्यू इंग्लैंड पैट्रिओट्स ने अपने सीज़न के अंतिम तीन मिनट में एक अजीब बाउल XLIX के साथ अपनी चैंपियन गारंटी बनाकर रख ली। इस गेम में, जब उन्होंने अंक बनाकर डिवीजनल राउंड में अपनी जगह बनाई, तो सभी ने उनकी ताकत को देखा। लेकिन अंततः, पिट्सबर्ग स्टीलर्स ने उन्हें हराया। इस गेम में, जब अंतिम तीन मिनट शुरू हुए, तो सभी ने उम्मीद की कि न्यू इंग्लैंड अपनी चैंपियन गारंटी बनाकर रख सकेंगे। लेकिन इस बाउल XLIX के साथ अंतिम चैंपियन न्यू इंग्लैंड के लिए एक बड़ा चुनौतीपूर्ण राउंड शुरू हुआ। उन्होंने अपनी ताकत को दिखाया, लेकिन अंततः उन्हें अपनी जगह नहीं बनाई। इस गेम में, जब अंतिम तीन मिनट बर्बर बर्बर रहे, तो लोगों ने उनकी ताकत को देखा। लेकिन अंततः, पिट्सबर्ग स्टीलर्स ने उन्हें हराया। इस गेम में, जब अंतिम तीन मिनट शुरू हुए, तो सभी ने उम्मीद की कि न्यू इंग्लैंड अपनी चैंपियन गारंटी बनाकर रख सकेंगे। लेकिन इस बाउल XLIX के साथ अंतिम चैंपियन न्यू इंग्लैंड के लिए एक बड़ा चुनौतीपूर्ण राउंड शुरू हुआ।","न्यू इंग्लैंड पैट्रिओट्स ने अपने सीज़न के आख़िर तीन छनक में एक अजीबो गरीब बाउल XLIX के साथ अपनी चैंपियन गारंटी बनाकर रख ट्रैग्वे ली । इस खेल में , जब उन्होंने अकोरी बनाकर डिवीजनल राउन्ड में अपनी जगह बनाई , तो सभी ने उनकी सत्व को देखा । लेकिन अन्त में , पिट्सबर्ग स्टीलर्स ने उन्हें हराया । इस खेल में , जब अन्तिम तीन मिनट आरंभ हुए , तो सभी ने तवक्को की कि न्यू इंग्लैंड अपनी चैंपियन जिम्मेदारी बनाकर रख सकेंगे । लेकिन इस बाउल XLIX के साथ आखिर चैंपियन न्यू इंग्लैंड के लिए एक बड़ा चुनौतीपूर्ण दौर प्रारंभिक हुआ । उन्होंने अपनी क्षमता को दिखाया , लेकिन आखिरकार उन्हें अपनी जगह नहीं बनाई । इस खेल में , जब अन्तिम तीन मिनट तुम्र तुम्र रहे , तो लोगों ने उनकी सत्त्व को देखा । लेकिन अन्ततोगत्वा , पिट्सबर्ग स्टीलर्स ने उन्हें हराया । इस खेल में , जब अंतिम तीन क्षण प्रवर्तन हुए , तो सभी ने आस पेन्ट कि न्यू इंग्लैंड अपनी चैंपियन गारंटी बनाकर रख सकेंगे । लेकिन इस बाउल XLIX के साथ अंतिम चैंपियन न्यू इंग्लैंड के लिए एक मूर्धन्य चुनौतीयुक्त राउंड आरंभिक हुआ ।",0,"न्यू इंग्लैंड, बाउल XLIX, XLIX चैंपियन, गेम में, अंक बनाकर, सेकंड रहते, चैंपियन न्यू, इंग्लैंड पैट्रिओट्स, हराया। सीज़न, अंतिम तीन, तीन मिनट, बनाकर डिवीजनल, डिवीजनल राउंड, पिट्सबर्ग स्टीलर्स, उन्होंने एएफसी"
2,"वह 39 में उम्र में एक सुपर बाउल खेलने वाले सबसे अधिक उम्र के क्वार्टरबैक भी हैं। पिछला रिकॉर्ड जॉन एलवे के नाम था, जिन्होंने 38 की उम्र में सुपर बाउल XXXIII जीतने में ब्रोंकोस का नेतृत्व किया और वर्तमान में डेनवर के फुटबॉल संचालन के कार्यकारी उपाध्यक्ष और महाप्रबंधक हैं।","वह 39 में आयुर्बल में एक सुपर बाउल खेलने वाले सबसे अधिक आयुर्बल के क्वार्टरबैक भी हैं । पिछला लेखा पुस्तक जॉन एलवे के नाक था , जिन्होंने 38 की वयस में सुपर बाउल XXXIII जीतने में ब्रोंकोस का लीडरी किया और वर्तमान में डेनवर के फुटबॉल अवधान के अधिष्ठाता वाइस चेयरमैन और महाप्रबंधक हैं ।",1,"सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र"
2,"सुपर बाउल, फुटबॉल के सबसे शानदार एवं उत्साहजनक घटनाओं में से एक है। जब दो अलग-अलग टीमों के बीच लीड लड़ने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खे�लने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलन","सुपर बाउल , फुटबाल के सबसे बढ़िया एवं उत्साह-जनक घटनाओं में से एक है । जब दो अलग अलग टीमों के बीच लीड लड़ने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खे�लने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलने के लिए एक बाउल खेलन",0,"सुपर बाउल, बाउल XXXIII, XXXIII जीतने, पैटन मैनिंग, उम्र में, मल्टीपल सुपर, बाउल खेलने, अलग-अलग टीमों, लीड लड़ने, पिछला रिकॉर्ड, रिकॉर्ड जॉन, जॉन एलवे, फुटबॉल संचालन, कार्यकारी उपाध्यक्ष, अधिक उम्र"
3,"अगले खेल में, मिलर गेंद को न्यूटन से दूर ले गए, और कई खिलाड़ियों ने इसके लिए प्रयास करने के बाद, इसने पीछे की तरफ एक लंबा उछाल लिया और इसे वार्ड द्वारा प्राप्त किया गया,  जिसने इसे पाँच यार्ड की दूरी पर वापस भेजा जो पैंथर्स के 4-यार्ड लाइन के अंदर था। हालाँकि कई खिलाडियों ने इसे प्राप्त करने के लिए समूह में प्रयास किया, लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की कमी के कारण बाद में उनकी भारी आलोचना हुई। इस बीच, तीन खेलों के लिए डेनवर के आक्रमण को अंत छोर से बाहर बाहर रखा गया था, लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए पेनल्टी ने ब्रोंकोस को और भी परेशान कर दिया। तब एंडरसन ने 2-यार्ड टचडाउन रन पर अंक अर्जित किए और मैनिंग ने 2-पॉइंट के रूपांतरण के लिए बेनी फ़ाउलर को पास दिया, 3:08 समय रहते हुए डेनवर को 24-10 की बढ़त दी और खेल को लगभग जीत लिया। कैरोलिना ने दो और ड्राइव का प्रयास किया, लेकिन हर एक पर फ़र्स्ट डाउन पाने करने में असफल रहे।","अगले कलोल में , मिलर गेंद को सर आइजक न्यूटन से दूर ले गए , और कई खिलाड़ियों ने इसके लिए प्रयास करने के परे , इसने वजह से की तरफ एक लम्ब उछार लिया और इसे रोगी कमरा द्वारा हस्तगत किया गया , जिसने इसे पाँच गज की दूरी पर एक बार फिर दिमाग जो पैंथर्स के 4-यार्ड लाइन के अंदर था । हालाँकि कई खिलाडियों ने इसे मुहैया करने के लिए समूह में जद्दोजहद किया , लेकिन न्यूटन ने ऐसा नहीं किया और उनकी आक्रामकता की अभाव के कारण परे में उनकी गंभीर समालोचना हुई । इस दरमियाँ , तीन खेलों के लिए डेनवर के हमला को अंत वेला से ऊपर ऊपर रखा गया था , लेकिन जोश नॉर्मन के कॉर्नरबैक पर दिए गए पेनल्टी ने ब्रोंकोस को और भी हलकान हाथ प्रदीप । तब एंडरसन ने 2-यार्ड टचडाउन दौड़ पर अंक कमाया किए और मैनिंग ने 2-पॉइंट के परिणति के लिए बेनी फ़ाउलर को पास दिया , 3:08 चान्स रहते हुए डेनवर को 24-10 की संवर्द्धन दी और आसान काम को अनुमानतः अभिभावन लिया । कैरोलिना ने दो और वाहनीय भ्रमण का ईहा किया , लेकिन हर एक पर फ़र्स्ट जान एल एच डाउन पाने करने में बेकार रहे ।",1,"-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड"
3,"एक बिना आवाज़ के दिन, जब दूर के ध्वनियाँ अंधेरे में बिखर गईं, एक खेल शुरू हुआ। यार्ड लाइन के पास, एक गेंद उछली और एक बाहर बाहर के दृढ़ आवेग से चले गए। इसने पीछे ले जाने के लिए अपनी गति बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर तौर पर बर्बर �","एक बिना स्वन के ज़माना , जब दूरस्थ के ध्वनियाँ अंधेरे में बिखर गईं , एक कलोल शुरू हुआ । यार्ड लाइन के पास , एक गेंद उछली और एक ऊपर ऊपर के दृढ़ नोक झोक से चले गए । इसने मारे ले जाने के लिए अपनी अवस्था क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर विधि पर क्रूर �",0,"-यार्ड लाइन, -यार्ड टचडाउन, 3:08 समय, मिलर गेंद, इसने पीछे, तीन खेलों, असफल रहे।, वाली ड्राइव, लिया। कैरोलिना, बॉल प्राप्त, में प्रयास, बाहर बाहर, 4:51 समय, अगले खेल, पाँच यार्ड"
4,"वोज्शिएक बोगसुलावस्की थियेटर (1922–26), ""पोलिश स्मारकीय थिएटर"" का सबसे अच्छा उदाहरण था। 1930 के दशक के मध्य से, महान रंगमंच की इमारत ने अभिनय विभाग और एक मंच निर्देशन विभाग युक्त नाटकीय कला की उपति इंस्टीट्यूट - ड्रामाटिक कला की पहली राज्य-संचालित अकादमी को आश्रय दिया।","वोज्शिएक बोगसुलावस्की थियेटर ( 1922–26 ) , "" पोलिश स्मारकीय थिएटर "" का सबसे भला मिसाल था । 1930 के दशक के मध्य से , ऊँचा रंगस्थल की बिल्डिंग ने स्वांग खण्ड और एक मंच निर्देशन खण्ड युक्त नाटकीय कला की उपति इंस्टीट्यूट - ड्रामाटिक कला की पहली राज्य-संचालित अकादमी को आश्रय बत्ती ।",1,"ड्रामाटिक कला, ओरगॉस्क सास्की, साहित्यिक कैबरे, ""पोलिश स्मारकीय, उदाहरण था।, महान रंगमंच, उपति इंस्टीट्यूट, आश्रय दिया।, समर थियेटर, कॉम्प्लेक्स में, में मोमस, पहली साहित्यिक, नाटकीय कला, पहली राज्य-संचालित, सास्की (सैक्सन"
4,"पहली साहित्यिक कैबरे के जन्म के बाद, ओरगॉस्क सास्की ने अपने दिमाग में एक ड्रामाटिक कला की चिंता बरकरार रखी। उनके द्वारा स्थापित उपति इंस्टीट्यूट ने नाटकीय कला के लिए एक नए राज्य-संचालित आश्रय दिया। यह एक महान रंगमंच था, जो समर थियेटर के कॉम्प्लेक्स में स्थित था। इसके अंदर, एक विशाल मोमस था, जो साहित्यिक कैबरे के रूप में जाना जाता था। यह एक पोलिश स्मारकीय था, जो अपने नाटकीय कला के लिए एक उदाहरण था।

ओरगॉस्क सास्की ने अपने जीवन के अंतिम दिनों तक इस रंगमंच के निर्माण में आश्रय दिया। उनकी विचारधारा ने लोगों को एक नए संस्कृति के रूप में एक नाटकीय कला के लिए एक आवागमन दिया। उनके द्वारा बनाए गए यह रंगमंच अब एक ऐतिहासिक स्थल बन गया है। इसके अंदर एक साहित्यिक कैबरे के रूप में जाना जाता है, जहां लोग अपनी आवेदन और विचारों को व्यक्त कर सकते हैं। यह एक पहली साहित्यिक कैबरे था, जो अपने विशिष्ट विश्वास के साथ एक नए रूप में उभरा।

ओरगॉस्क सास्की के योगदान ने एक ऐतिहासिक रूप में एक नाटकीय कला के लिए एक नए आवागमन दिया। उनके द्वारा बनाए गए यह रंगमंच अब एक ऐतिहासिक बिंदु बन गया है, जो अपने जीवन के अंतिम दिनों तक एक नए संस्कृति के रूप में उभरा।","१ला साहित्यिक कैबरे के जन्म के बाद , ओरगॉस्क सास्की ने अपने दिमाग में एक ड्रामाटिक फन की अवसेर अवस्थित रखी । उनके द्वारा प्रतिष्ठापित उपति इंस्टीट्यूट ने नाटकीय रचित कृति के लिए एक नए राज्य-संचालित आश्रय प्रदीप । यह एक अज़ीम रंगमंच था , जो समर थियेटर के सङ्कुल में अधिष्ठित था । इसके अंदर , एक अज़ीम मोमस था , जो साहित्यिक नाइटस्पाट के रूप में चरण जाता था । यह एक पोलैंड वासी स्मारकीय था , जो अपने नाटकीय फन के लिए एक प्रतिमान था । ओरगॉस्क सास्की ने अपने जीवन के समाप्तिक दिनों तक इस रंगमंच के निर्माण में अवष्टम्भ चिराग । उनकी विचारधारा ने लोगों को एक नए तहज़ीब के रूप में एक नाटकीय कला-कृति के लिए एक आमद-रफ्त बाती । उनके द्वारा बनाए गए यह रंगभूमि अब एक ऐतिहासिक अवन बन गया है । इसके अंदर एक साहित्यिक नाइटस्पाट के रूप में जाना जाता है , जहां लोक अपनी प्रार्थनापत्र और विचारों को व्यक्त सूड़ सकते हैं । यह एक १ला साहित्यिक नाइटस्पाट था , जो अपने विशिष्ट अविशङ्का के साथ एक नए रूप में उभरा। ओरगॉस्क सास्की के योग-दान ने एक ऐतिहासिक रूप में एक नाटकीय चन्द्ररेखा के लिए एक नए आवागमन दिवली । उनके द्वारा बनाए गए यह आटक मंच अब एक ऐतिहासिक बिंदु बियावान गया है , जो अपने इह-काल के आख़िरी दिनों तक एक नए तहज़ीब के रूप में उभरा।",0,"ड्रामाटिक कला, ओरगॉस्क सास्की, साहित्यिक कैबरे, ""पोलिश स्मारकीय, उदाहरण था।, महान रंगमंच, उपति इंस्टीट्यूट, आश्रय दिया।, समर थियेटर, कॉम्प्लेक्स में, में मोमस, पहली साहित्यिक, नाटकीय कला, पहली राज्य-संचालित, सास्की (सैक्सन"
