id,text,text_perturb,label,keywords
155,यह लेख लिखने के लिए आपको कुछ विवरण प्रदान करने की आवश्यकता होगी। किस विश्वविद्यालय का मुख्य परिसर है किमी) दूर कैम्ब्रिज में स्थित? कौन से व्यवसायिक विद्यालय हैं जिनमें हार्वर्ड का स्वाद है? रेडक्लिफ इंस्टीट्यूट का संबंध किस विश्वविद्यालय से है? क्या विश्वविद्यालय ग्यारह अलग-अलग विभागों में विभाजित है? और क्या हार्वर्ड के लिए विशेषज्ञता का कोई क्षेत्र है? कैम्ब्रिज में स्थित एथलेटिक्स सुविधाएं कौन सी हैं? दंत चिकित्सा के लिए विशेषज्ञता वाले संस्थान कौन से हैं? और क्या दूर कैम्ब्रिड के पास कोई विशेषज्ञता वाले दंत चिकित्सा संस्थान हैं? जिनमें हार्वर्ड का स्वाद है? क्या व्यवसायिक विद्यालय जिनमें हार्वर्ड का स्वाद हैं वे विशेष रूप से किस क्षेत्र में विशेष,यह आज्ञा पत्र लिखने के लिए आपको कुछ विवरण प्रदान करने की अपेक्षा होगी । किस विश्वविद्यालय का मुख्य परिसर है किलो मीटर ) दूरस्थ कैम्ब्रिज में स्थित ? कौन से व्यवसायिक स्कूल हैं जिनमें हार्वर्ड का लुत्फ है ? रेडक्लिफ इंस्टीट्यूट का तार किस विश्वविद्यालय से है ? क्या विश्वविद्यालय ग्यारह अलग-अलग विभागों में अवदीर्ण है ? और क्या हार्वर्ड के लिए विशेषज्ञता का कोई दयार है ? कैम्ब्रिज में आस्थित एथलेटिक्स सुविधाएं कौन सी हैं ? दाँता मुआलिजा के लिए विशेषज्ञता वाले संस्थान कौन से हैं ? और क्या अलग कैम्ब्रिड के पास कोई विशेषज्ञता वाले दंत चिकित्सा अधिष्ठान हैं ? जिनमें हार्वर्ड का अनंद है ? क्या व्यवसायिक विद्यालय जिनमें हार्वर्ड का स्वाद हैं वे खासा अनुहार से किस प्रान्त क्षेत्र में खासा,0,"किमी) दूर, एथलेटिक्स सुविधाएं, दंत चिकित्सा, ज़्यादा है।, पूरे बोस्टन, व्यवसायिक विद्यालय, जिनमें हार्वर्ड, विश्वविद्यालय ग्यारह, ग्यारह अलग-अलग, रेडक्लिफ इंस्टीट्यूट, इंस्टीट्यूट फॉर, फॉर एडवांस्ड, एडवांस्ड स्टडी, मुख्य परिसर, दूर कैम्ब्रिज"
31,"ऑन दि एबोरगेशन ऑफ दि प्राइवेट मास में उन्होंने इस विचार की, कि जन साधारण बलिदान के लिए है, मूर्ति पूजा की तरह इस पर जोर देते हुए निंदा की इसके बजाय, यह उपहार है जिसे सम्पूर्ण धर्म सभा के द्वारा धन्यवाद देते हुए स्वीकार किया जाए। अपने निबंध ऑन कॉन्फेशन में, भले ही पॉप के पास इसकी जरूरत की शक्ति है,  अनिवार्य पाप स्वीकारोक्ति को अस्वीकार किया और निजी स्वीकारोक्ति और मुक्ति को प्रोत्साहित किया क्योंकि प्रत्येक ईसाई पाप स्वीकारोक्ति करने वाला है। नवम्बर में, लूथर ने  दि जजमेंट ऑफ मार्टिन लूथर ऑन मोनास्टिक वोज लिखा। उन्होंने भिक्षुकों और ननों को आश्वस्त किया कि वे बिना पाप किये शपथों को तोड़  सकते हैं क्योंकि शपथें मोक्ष प्राप्त करने के प्रयास में अवैध और निरर्थक हैं।","ऑन दि एबोरगेशन ऑफ दि प्राइवेट मास में उन्होंने इस मनसा पेन्ट , कि रैयत अविशेष कुरबानी के लिए है , मूर्ति पूजा पेन्ट तरह इस पर क्षत्र देते हुए अपवाद पेन्ट इसके बजाय , यह तोहफ़ा है जिसे अनंतरित धर्म सभा के द्वारा धन्यवाद देते हुए इक़बाल किया जाए । अपने निबंध ऑन कॉन्फेशन में , भले ही पॉप के पास इसकी आवश्यकता की दाप है , लाजमी पातक स्वीकारोक्ति को अस्वीकार किया और आत्म-संबंधी स्वीकारोक्ति और क्षेम को प्रोत्साहित किया क्योंकि प्रत्येक मसीही पातक स्वीकारोक्ति करने वाला है । नवम्बर में , लूथर ने दि जजमेंट ऑफ मार्टिन लूथर ऑन मोनास्टिक वोज लिखा हुआ । उन्होंने भिक्षुकों और ननों को आश्वासित किया कि वे बिना पाप किये शपथों को तोड़ सकते हैं क्योंकि शपथें अवसान सम्प्राप्त करने के उजवास में अयथार्थ और अकाज हैं ।",1,"पाप स्वीकारोक्ति, मूर्ति पूजा, निरर्थक हैं।, अनिवार्य पाप, जोर देते, धन्यवाद देते, वैयक्तिक धर्मपरायणता, धर्मपरायणता जैसी, जैसी आसक्ति, चर्च प्रथा, मूल सिद्धांत, प्राइवेट मास, साधारण बलिदान, सम्पूर्ण धर्म, धर्म सभा"
20,"अनुसार वर्गीकृत: सैद्धांतिक कंप्यूटर विज्ञान में गणितीय स्तरों पर काम करना जटिल हो सकता है, जिसे निहित कठिनाई के रूप में जाना जाता है। यह कठिनाई किसी भी कार्य को संभालने के लिए आवश्यक है जो विज्ञान में गणना और मैकेनिकल एप्लीकेशन के साथ जुड़ा हो। संबंध दर्शाती: इस कठिनाई को संभालने के लिए, सैद्धांतिक कंप्यूटर विज्ञान में कार्य समझाना आवश्यक है। इसमें कंप्यूटर विज्ञान की सिद्धांतों और गणितीय स्तरों को समझने की प्रक्रिया शामिल है। कार्य समझाने से वैज्ञानिकों को समस्याओं को हल करने और नए सिद्धांतों को विकसित करने की अनुमति मिलती है। ऐसा कार्य: सैद्धांतिक कंप्यूटर विज्ञान में कार्य करने वाले वैज्ञानिकों को कठिन समस्याओं का सामना करना पड़ता है, लेकिन उनके पास संशोध","अनुसार वर्गीकृत : सैद्धान्तिक कंप्यूटर इंद्र-जाल में गणितीय स्तरों पर काम करना कूटतापूर्ण हो सकता है , जिसे निहित दिक्क़त के रूप में बिलाना जाता है । यह कठिनाई किसी भी कार्य को संभालने के लिए लाज़िम है जो पटुता में गणना और यंत्र चालित एप्लीकेशन के साथ सम्बन्धित हो । संबंध दर्शाती: इस कठिनाई को संभालने के लिए , सैद्धान्तिक कम्प्यूटर विज्ञान में कार्य समझाना लाज़िमी है । इसमें कम्पयूटर विज्ञान की सिद्धांतों और हिसाबिया स्तरों को समझने की प्रोसीज़र शामिल है । उपयोग समझाने से वैज्ञानिकों को समस्याओं को झगड़ा करने और नए सिद्धांतों को प्रफुलित करने की रुखसत मिलती है । ऐसा कृत्य : सैद्धान्तिक अभिकलित्र स्व-ज्ञान में कृत्य करने वाले वैज्ञानिकों को कठिन समस्याओं का सामना करना पड़ता है , लेकिन उनके पास संशोध",0,"अनुसार वर्गीकृत, निहित कठिनाई, संबंध दर्शाती, ऐसा कार्य, कार्य समझा, समझा जाता, संशोधन योग्य, गणितीय स्तरों, मैकेनिकल एप्लीकेशन, सैद्धांतिक कंप्यूटर, कंप्यूटर विज्ञान, विज्ञान में, में गणना, दर्शाती है।, कम्प्यूटेशनल समस्या"
75,"अपने हाल के कार्यकाल के दौरान, यूके ने चेक गणराज्य के साथ एक महत्वपूर्ण समझौते पर हस्ताक्षर किए। यह समझौता यूरोपीय संघ के एक नये अधिनियम के भीतर शुरू हुआ, जिसने यूरोपीय अधिनियम को संशोधित किया। ये संशोधन नॉर्वे को भी शामिल कर रहे थे, हालांकि उसे अपने स्वयं के संघीय संस्थानों को बनाए रखने की अनुमति दी गई थी। हालांकि, ये संशोधन आंतरिक बाजार की स्थापना के लिए एक महत्वपूर्ण कदम थे, जिसने निर्यात और आयात को सुविधाजनक बनाने के लिए एक समान बाजार की स्थापना की थी। ये संशोधन यूरोपीय संघ के प्रमुख संशोधन के रूप में माने जाते हैं, जिसने यूरोपीय अर्थव्यवस्था को एक नए दिशा में ले जाने में मदद की। हालांकि, यह संशोधन कुछ मुद्दों को भी उठाता है, जैसे कि यूरोप","अपने हाल के कार्य-काल के दौरान , यूके ने चौख़ाना प्रजातंत्र के साथ एक महत्वपूर्ण समझौते पर सही किए । यह संधि यूरोपीय संघ के एक नये अधिनियमय के भीतर आगाज हुआ , जिसने यूरोपीय अधिनियमय को विशुद्ध किया । ये सुधार नॉर्वे को भी तहत महसूल रहे थे , हालांकि उसे अपने स्वयं के संघीय संस्थानों को बनाए रखने की रुखसत दी गई थी । हालांकि , ये संशोधन अंतस्थ बाजार पेंट अवस्थापन के लिए एक महत्वपूर्ण जरिया थे , जिसने बरामद और आयात को सुविधापूर्ण बनाने के लिए एक समान बाजार पेंट अवस्थापन पेंट थी । ये इसलाह यूरोप वासी संघ के चूड़ा इसलाह के रूप में माने जाते हैं , जिसने यूरोप वासी अर्थव्यवस्था को एक नए दिशा में ले जाने में सहायता की । हालांकि , यह शुद्धिकरण कुछ मुद्दों को भी उठाता है , जैसे कि यूरोप",0,"जिसमे यूके, चेक गणराज्य, हस्ताक्षर किए, ﻿यूरोपीय संघ, यूरोपीय अधिनियम, नॉर्वे शामिल, शुरू हुईं, आंतरिक बाजार, विफल रहा), दर्जा दिया।, (हालांकि नॉर्वे, संशोधन किए, एकल यूरोपीय, प्रमुख संशोधन, संशोधन संधियों"
79,"भारत में सामाजिक नीति में महत्वपूर्ण बदलाव आ रहे हैं। सरकार ने प्रवासी श्रमिकों के लिए समान अवसर प्रदान करने का निर्णय लिया है, जिससे उनके सामाजिक और आर्थिक स्तर में सुधार हो सके। नीति क्षेत्रों में मुख्य कानूनों में से एक है, जो प्रवासी श्रमिकों के अधिकारों की रक्षा करता है। इस कानून में उद्योग संबंधों के लिए निर्देश जिसमे प्रवासी श्रमिकों के अधिकारों का सम्मान किया जाता है, इसी तरह एम्स्टर्डम संधि में भी प्रवासी श्रमिकों के अधिकारों का सम्मान किया जाता है। सामाजिक अध्याय में भी प्रवासी श्रमिकों के अधिकारों का सम्मान किया जाता है, जिसमे सहमत सामाजिक और सामाजिक प्रकरणों का समाधान किया जाता है। विभिन्न सामाजिक संगठनों ने वर्षों में सरकार के निर्णयों का समर्थन किया है, जिससे प्रवासी","भारत में सामाजिक अखलाक में महत्वपूर्ण विकृति आ रहे हैं । गवर्मंट ने भ्रमणशील श्रमिकों के लिए समान अवसर अता करने का इनफिसाल लिया है , जिससे उनके सामाजिक और आर्थिक पटल में सुधार हो सके । अख़लाक़ क्षेत्रों में वरेण्य कानूनों में से एक है , जो भ्रमणशील श्रमिकों के अधिकारों की अवन करता है । इस विधि में जद्दोजहद संबंधों के लिए निर्देश जिसमे भ्रमणशील श्रमिकों के अधिकारों का इफ्तिखार किया जाता है , इसी तर्ज एम्स्टर्डम संधि में भी भ्रमणशील श्रमिकों के अधिकारों का इफ्तिखार किया जाता है । सामाजिक परिच्छेद में भी आप्रवासी श्रमिकों के अधिकारों का पत किया जाता है , जिसमे मुत्तफिक सामाजिक और सामाजिक प्रकरणों का निबटारा किया जाता है । भाँति भाँति सामाजिक संगठनों ने वर्षों में सरकार के निर्णयों का ताईद किया है , जिससे भ्रमणशील",0,"सामाजिक नीति, समान अवसर, प्रवासी श्रमिक, नीति क्षेत्रों, मुख्य कानून, उद्योग संबंध, निर्देश जिसमे, एम्स्टर्डम संधि, सामाजिक अध्याय, सहमत सामाजिक, सामाजिक प्रकरण, विभिन्न सामाजिक, वर्षों में, लेबर पार्टी, सरकार आने"
112,"उनका सबसे प्रसिद्ध गीत, ""फॉग ऑन द टाइन"" (1971), 1990 में जियोर्डी के पूर्व फुटबॉलर पॉल गैस्कोनिक द्वारा कवर किया गया था। Venom, 1979 में न्यूकैसल में बना था। कई इसे ब्लैक मेटल के अन्वेषक मानते हैं और ये ब्लैक मेटल समुदाय में अत्यंत प्रभावशाली हैं। फॉक-मेटल बैंड Skyclad, जिसे पहला फॉक-मेटल बैंड माना जाता है, भी न्यूकैसल में बना, मार्टिन वॉकीयर के ट्रैश मेटल बैंड, Sabbat के ब्रेक-अप के बाद। एंडी टेलर, Duran Duran के भूतपूर्व अग्रणी गिटारवादक 1961 में यहाँ पैदा हुए थे। ब्रायन जॉनसन  AC/DC के प्रमुख गायक बनने से पहले स्थानीय रॉक बैंड जियोर्डी के सदस्य थे।","उनका सबसे ख्यात नगमा , "" फॉग ऑन द टाइन "" ( 1971 ) , 1990 में जियोर्डी के शुरुआत में फुटबाल खिलाड़ी पॉल गैस्कोनिक द्वारा कवर किया गया था । Venom , 1979 में न्यूकैसल में बना था । कई इसे ब्लैक धातु के अन्वेषक मानते हैं और ये ब्लैक धातु झुंड में अत्यंत मनोरम हैं । फॉक-मेटल जत्था Skyclad , जिसे पूर्व फॉक-मेटल जत्था माना जाता है , भी न्यूकैसल में बना , मार्टिन वॉकीयर के ट्रैश मेटल जत्था , Sabbat के ब्रेक-अप के बाद। एंडी टेलर , Duran Duran के अयथापूर्व इंद्र गिटारवादक 1961 में यहाँ धनागम हुए थे । ब्रायन जॉनसन AC/DC के सरगना गवैया बनने से पहले स्थानीय रॉक बैंड जियोर्डी के मेंबर थे ।",1,"Duran Duran, ब्लैक मेटल, न्यूकैसल में, में बना, फॉक-मेटल बैंड, था। Venom, बैंड Skyclad, लिंडिस्फ़ार्न मजबूत, प्रसिद्ध गीत, मार्टिन वॉकीयर, एंडी टेलर, अग्रणी गिटारवादक, हैं। फॉक-मेटल, पहला फॉक-मेटल, बना था।"
218,"उनके  राष्ट्रीय इस्लामिक मोर्चे ने पहली बार प्रभुत्व पाया जब 1979 में अपनी सरकार में सेवारत जनरल गफ़र अल-निमीरी ने सदस्यों को आमंत्रित किया। तुरबी ने विदेशी इस्लामिक बैंकिंग प्रणाली के पैसे से एक शक्तिशाली आर्थिक आधार बनाया, विशेष रूप से जो सऊदी अरब से जुड़े हुए थे। उन्होंने शिक्षा मंत्री के रूप में सेवा करते हुए विश्वविद्यालय और सैन्य अकादमी में सहानुभूति रखने वाले छात्रों को शामिल करके प्रभावशाली वफादारों का एक कैडर भी नियुक्त किया।","उनके नैशनल इस्लामिक मोर्चे ने पहली बार गुरुता पाया जब 1979 में अपनी शासन में सेवारत सेनाधिनाथ गफ़र अल-निमीरी ने सदस्यों को न्योताहरी किया । तुरबी ने विदेशी इस्लामी बैंकिंग प्रक्रिया के पैसे से एक जोरदार आर्थिक आहरी बनाया , विशेष अनुहार से जो सऊदी अरब से जुड़े हुए थे । उन्होंने शिक्षा मंत्री के रूप में लघु संदेश सेवा करते हुए विश्वविद्यालय और फौजी अकैडमी में संवेदना रखने वाले छात्रों को शामिल करके बंधुर वफादारों का एक कैडर भी अवहित किया ।",1,"आधार बनाया, विशेष रूप, हसन अल-तुरबी, इस्लामवादी शासन, शासन था।, पहली बार, बार प्रभुत्व, प्रभुत्व पाया, सेवारत जनरल, जनरल गफ़र, गफ़र अल-निमीरी, बैंकिंग प्रणाली, शक्तिशाली आर्थिक, आर्थिक आधार, सऊदी अरब"
167,"वक्र परिकल्पना के प्रभाव: आर्थिक विकास और कुजनेट वक्र वक्र परिकल्पना एक विचार है जो माना जाता है कि विकास के लिए सामाजिक और आर्थिक परिवर्तन की आवश्यकता होती है। यह विचार अर्थशास्त्री थॉमस लेक्स ने प्रस्तुत किया था, जिन्होंने कहा था कि ""विकास के लिए, हमें सामाजिक और आर्थिक परिवर्तन की आवश्यकता होती है, न कि बस आर्थिक परिवर्तन ही"". वक्र परिकल्पना के प्रभाव को देखते हुए, यह स्पष्ट है कि यह विचार हमें आर्थिक विकास के लिए सामाजिक और आर्थिक परिवर्तन की आवश्यकता के बारे में सोचने के लिए प्रेरित करता है। यह हमें यह भी सोचने के लिए प्रेरित करता है कि कुजनेट वक्र हमारे लिए क्या चुनौती देता है और हमें यह सोचने के लिए प्रेरित करता है कि हम इसे कैसे संभाल सकते हैं। लंबे समय से, वक्र पर","घुमावदार अभिकल्पना के तासीर : फनैन्सल संवर्द्धन और कुजनेट घुमावदार घुमावदार अभिकल्पना एक ख्याल है जो माना जाता है कि संवर्द्धन के लिए सामाजिक और फनैन्सल परिवर्तन की आवश्यकता होती है । यह अभिवेग अर्थविज्ञानी थॉमस लेक्स ने प्रवृत्त किया था , जिन्होंने उद्गार था कि "" विकास के लिए , हमें सामाजिक और फनैंशल अपवर्तन की ज़रूरत होती है , न कि बस फनैंशल अपवर्तन ही "" . गूढ़ थ्योरी के दबदबा को देखते हुए , यह स्पष्ट है कि यह इरादा हमें आर्थिक अभिवृद्धि के लिए सामाजिक और आर्थिक तब्दीली की आवश्यकता के बारे में सोचने के लिए इषित करता है । यह हमें यह भी सोचने के लिए उत्प्रेरित कर्ता है कि कुजनेट कपटमय हमारे लिए क्या आहु देता है और हमें यह सोचने के लिए उत्प्रेरित कर्ता है कि हम इसे कैसे अधिकर्म सकते हैं । लंबे मुकाम से , वक्र पर",0,"वक्र परिकल्पना, आर्थिक विकास, में आर्थिक, कुजनेट वक्र, लंबे समय, कभी-कभी कुज़नेट, प्रमाण मिले, अर्थशास्त्री थॉमस, चुनौती देते, राजनीतिक आघातों"", जोर देने, विकसित दुनिया, महत्त्वपूर्ण वृद्धि, ""हिंसक आर्थिक, जाती है।"
82,"पहले दो राजमार्गों ने सफलतापूर्वक वर्षा-वनों के मार्ग को खोला जिससे आबादी और वनों की कटाई मे बढ़ोतरी हुई। 2000 से 2005 तक वनों की कटाई का वार्षिक औसत दर (22,392 वर्ग किमी या 8,646 वर्ग मील प्रति वर्ष) पिछले पाँच वर्षों (18,018 वर्ग किमी या 7,343 वर्ग मील प्रति वर्ष) की तुलना में 18% अधिक था। हालांकि 2004 और 2014 के बीच ब्राजील के अमेज़न में वनों की कटाई में काफी गिरावट आई है, लेकिन वर्तमान समय में वृद्धि हुई है।","शुरुवात में दो राजमार्गों ने सफलतापूर्वक वर्षा-वनों के पदवी को खोला जिससे बस्ती और वनों की कटान मे बढ़ोतरी हुई । 2000 से 2005 तक वनों की कटाई का सालाना औसत दर ( 22,392 समाज किलो मीटर या 8,646 समाज अर्धक्रोश प्रति लम्बा समय ) पिछले पाँच वर्षों ( 18,018 समाज किलो मीटर या 7,343 समाज अर्धक्रोश प्रति लम्बा समय ) की तुलना में 18% अधिक था । हालांकि 2004 और 2014 के बीच ब्राजील के अमेज़न में वनों की कटाई में काफी अवपतन मरणघड़ी है , लेकिन मौज़ूदा चान्स में वर्धन हुई है ।",1,"मील प्रति, प्रति वर्ष), अमेज़न में, बढ़ोतरी हुई।, पाँच वर्षों, अधिक था।, था। हालांकि, वर्ष) पिछले, विवादास्पद परिवहन, परिवहन परियोजनाओं, सही ठहराने, सोया किसानों, सहारा लिया, लिया जाता, सफलतापूर्वक वर्षा-वनों"
18,"निविदाओं में एक प्रतिभाशाली व्यक्ति की संभावित निविदाओं का विस्तार हाल ही में एडिसन और टेस्ला द्वारा निविदाओं में एक प्रतिभाशाली व्यक्ति ने अपने योगदान को दिखाया। वह एक प्रमुख वैज्ञानिक है जिसने अपने काम को विभिन्न क्षेत्रों में लागू किया है, जिसमें विद्युत ऊर्जा और प्रौद्योगिकी के क्षेत्र शामिल हैं। हालाँकि एडिसन और टेस्ला द्वारा निविदाओं में एक प्रतिभाशाली व्यक्ति ने अपने प्रयासों को पुरस्कार के रूप में प्राप्त किया है, वह अभी भी अपने काम पर जोर देता है। वह अपने काम को विभिन्न क्षेत्रों में लागू करने के लिए निरंतर रूप से काम करता है, और अपने प्रयासों को सफल बनाने के लिए नए और नवीन विचारों की तलाश करता है। वर्षों में वह अपने काम के लिए कई पुरस्कार प्राप्त कर चुका","निविदाओं में एक प्रतिभासंपन्न व्यक्ति की इमकान निविदाओं का पसार हाल ही में एडिसन और टेस्ला द्वारा निविदाओं में एक प्रतिभासंपन्न व्यक्ति ने अपने योग-दान को दिखाया । वह एक प्रभारी वैज्ञानिक है जिसने अपने इस्तमाल को इकौंसा क्षेत्रों में लागू किया है , जिसमें ईरमद ऊर्जा और प्रौद्योगिकी के माल शामिल हैं । हालाँकि एडिसन और टेस्ला द्वारा निविदाओं में एक प्रतिभासंपन्न जना ने अपने प्रयासों को बख्शीश के रूप में हासिल किया है , वह अभी भी अपने यूज पर क़ाबू देता है । वह अपने ब्योहार को अलग-अलग क्षेत्रों में लागू करने के लिए निस-वासर रूप से ब्योहार कर्ता है , और अपने प्रयासों को अर्द्धुक बनाने के लिए नए और नवीन विचारों की खोज कर्ता है । वर्षों में वह अपने काम के लिए कई इक़राम उपलब्ध कर चुका",0,"संभावित निविदाओं, निविदाओं में, प्राप्त की।), पुरस्कार जीता, जीता (हालाँकि, (हालाँकि एडिसन, वर्षों में, में, संभावित, निविदाओं, एडिसन, प्राप्त, टेस्ला, की।), अफवाहों"
