id,text,label,keywords
73,"प्लग-आउट परीक्षण के दौरान संकट  सुबह शुरूआत हुई एक सामान्य प्लग-आउट परीक्षण से। अंतरिक्ष यात्री अपने नियमित कार्यक्रम में व्यस्त थे, पर अचानक एक अजीब गंध ने सभी का ध्यान खींचा।  यह गंध इतना तेज था कि सभी अंतरिक्ष यात्रियों ने उसे अनुभव किया।  तुरंत संचार समस्याओं ने भी  दस्तक दे दी।  संचार केंद्र से संपर्क करना मुश्किल हो गया।  गंध के कारण का पता लगाने के लिए  कृत्रिम गणना और सेंसर डेटा का विश्लेषण शुरू हुआ।  पैड एरिया में उच्च दबाव का पता चला।  यह दबाव इतना तेज था कि  रोकना पड़ा।  पता चला कि यान के एक महत्वपूर्ण भाग में कुंडी खुलने में समस्या आ रही है। उच्च दबाव के कारण यह समस्या और भी विकट हो गई थी और  समस्या तुरंत फैल गई।  अंतरिक्ष यात्रियों को तुरंत समस्याओं का समाधान करने के लिए  अपने प्रशिक्षण का सहारा लेना पड़ा।  इस घटना ने अंतरिक्ष यात्रियों में  चिंता फैला दी।  अजीब गंध के कारण और उच्च दबाव की समस्या के निवारण  पर  गहन  जांच  शुरू  की  गई।  पूरे  घटनाक्रम  की  विस्तृत  रिपोर्ट  तैयार  कर  भविष्य  में  ऐसी  घटनाओं  से  बचने  के  लिए  उपाय  सुझाए  गए।  इस  घटना  ने  एक  बार  फिर  अंतरिक्ष  यात्रा  की  जटिलताओं  और  संभावित  खतरों  को  उजागर  किया।  भविष्य  के  मिशनों  में  ऐसी  आकस्मिक  स्थितियों  से  निपटने  के  लिए  और  बेहतर  प्रशिक्षण  और  सुरक्षा  उपायों  पर  ध्यान  दिया  जा  रहा  है।",0,"अंतरिक्ष यात्रियों, प्लग-आउट परीक्षण, संचार समस्याओं, सुबह शुरू, अजीब गंध, गंध अनुभव, कारण यान, कृत्रिम गणना, रोकना पड़ा।, इतना तेज, पैड एरिया, कुंडी खुलने, तुरंत समस्याओं, उच्च दबाव, फैल गई।"
99,"Internet2 समुदाय ने Qwest के साथ मिलकर, 1998 में Abilene नामक पहला इंटरनेट नेटवर्क बनाया, और नेशनल लैंबार्डरेल (NLR) परियोजना में एक प्रमुख निवेशक था। 2006 में, इंटरनेट2 ने एक नए राष्ट्रव्यापी नेटवर्क को शुरू करने के लिए लेवल 3 कम्युनिकेशन के साथ साझेदारी की घोषणा की, इसकी क्षमता को 10 गीगाबिट/सेकंड से बढ़ाकर 100 गीगाबिट/सेकंड कर दिया गया। अक्टूबर 2007 में, इंटरनेट2 ने आधिकारिक तौर पर Abilene को सेवानिवृत्त कर दिया और अब अपने नए, उच्च क्षमता नेटवर्क का इंटरनेट2 नेटवर्क के रूप में उल्लेख करता है।",1,"Abilene नामक, शिक्षा समुदायों, नेशनल लैंबार्डरेल, निवेशक था।, गया। अक्टूबर, उच्च क्षमता, संयुक्त राज्य, राज्य अमेरिका, गैर-लाभकारी कंप्यूटर, कंप्यूटर नेटवर्किंग, नेटवर्किंग कंसोर्टियम, जिसका नेतृत्व, नेतृत्व अनुसंधान, नामक पहला, प्रमुख निवेशक"
31,"ऑन दि एबोरगेशन ऑफ दि प्राइवेट मास में उन्होंने इस विचार की, कि जन साधारण बलिदान के लिए है, मूर्ति पूजा की तरह इस पर जोर देते हुए निंदा की इसके बजाय, यह उपहार है जिसे सम्पूर्ण धर्म सभा के द्वारा धन्यवाद देते हुए स्वीकार किया जाए। अपने निबंध ऑन कॉन्फेशन में, भले ही पॉप के पास इसकी जरूरत की शक्ति है,  अनिवार्य पाप स्वीकारोक्ति को अस्वीकार किया और निजी स्वीकारोक्ति और मुक्ति को प्रोत्साहित किया क्योंकि प्रत्येक ईसाई पाप स्वीकारोक्ति करने वाला है। नवम्बर में, लूथर ने  दि जजमेंट ऑफ मार्टिन लूथर ऑन मोनास्टिक वोज लिखा। उन्होंने भिक्षुकों और ननों को आश्वस्त किया कि वे बिना पाप किये शपथों को तोड़  सकते हैं क्योंकि शपथें मोक्ष प्राप्त करने के प्रयास में अवैध और निरर्थक हैं।",1,"पाप स्वीकारोक्ति, मूर्ति पूजा, निरर्थक हैं।, अनिवार्य पाप, जोर देते, धन्यवाद देते, वैयक्तिक धर्मपरायणता, धर्मपरायणता जैसी, जैसी आसक्ति, चर्च प्रथा, मूल सिद्धांत, प्राइवेट मास, साधारण बलिदान, सम्पूर्ण धर्म, धर्म सभा"
41,"जबकि यूनाइटेड किंगडम में रेडियो चैनलों का लंबा इतिहास रहा है, टेलीविजन प्रसारण का विकास विशेष रूप से अलग रहा है।  यूरोपीय देशों की तुलना में, यूनाइटेड किंगडम में टेलीविजन प्रसारण का आरंभ अपेक्षाकृत देर से हुआ था, जबकि रेडियो प्रसारण पहले ही अपनी पूर्ण क्षमता प्रदान कर रहा था।  हालाँकि, एक बार शुरुआत होने के बाद, इसका तेज़ी से विकास हुआ।  लगभग विशेष रूप से, शुरुआती वर्षों में प्रसारित एनालॉग टेलीविजन सेवाओं ने दर्शकों को अपनी ओर आकर्षित किया।  तथा सैकड़ों, यहाँ तक कि हज़ारों टेलीविजन सेट घरों में पहुँचने लगे।  यह एक क्रांति थी, जिसने लोगों को सूचना और मनोरंजन की एक नई दुनिया से परिचित कराया।  स्काई डिजिटल के आगमन से पहले, एनालॉग प्रसारण ही मुख्य माध्यम था, जिससे  सैकड़ों चैनलों की पहुँच सीमित थी।  यूनाइटेड किंगडम में प्रसारण का ढाँचा,  अपनी शुरुआती अवस्था में,  स्थित था।  धीरे-धीरे, तकनीक में उन्नति ने अधिक चैनलों और उच्च गुणवत्ता वाली सेवाओं को प्रदान किया।  जाने लगी।  आजकल,  डिजिटल प्रसारण ने एनालॉग प्रसारण को लगभग पूरी तरह से बदल दिया है,  हालाँकि एनालॉग प्रसारण का इतिहास यूनाइटेड किंगडम के टेलीविजन इतिहास का एक अहम हिस्सा है।  इसने आधुनिक टेलीविजन  इंडस्ट्री  की नींव रखी।",0,"जबकि यूनाइटेड, जाने लगी।, रेडियो चैनलों, स्थित था।, तथा सैकड़ों, सैकड़ों टेलीविजन, क्षमता प्रदान, प्रदान की।, की। सेवाओं, यूरोपीय देशों, यूनाइटेड किंगडम, लगभग विशेष, विशेष रूप, स्काई डिजिटल, प्रसारित एनालॉग"
77,"इसका मतलब यूरोपीय न्यायालय और उच्चतम राष्ट्रीय न्यायालय दोनों ने विभिन्न प्रणालियों के बीच कानूनों के टकराव को सुलझाने के लिए नियमो का निर्माण किया है। यूरोपीय संघ के भीतर ही, न्यायलय का दृष्टिकोण है कि यदि यूरोपीय संघ का कानून राष्ट्रीय कानून के प्रावधान के साथ टकराव करता है, तो यूरोपीय संघ का कानून प्रधान होता है। 1964 में पहले प्रमुख मामले में, कोस्टा v ENEL, मिलानी के वकील, और एक ऊर्जा कंपनी के पूर्व शेयरधारक, श्री कोस्टा ने इतालवी ऊर्जा निगमों के राष्ट्रीयकरण के खिलाफ विरोध स्वरुप, एनिल को अपना बिजली बिल देने से इनकार कर दिया। उन्होंने दावा किया कि इतालवी राष्ट्रीयकरण कानून रोम की संधि के प्रतिकूल है, और TFEU के लेख 267 के तहत इतालवी संवैधानिक न्यायालय और न्यायालय दोनों से निर्देश का अनुरोध किया गया। इतालवी संवैधानिक न्यायालय ने एक राय दी कि क्योंकि राष्ट्रीयकरण कानून 1962 से था, और संधि 1958 से लागू हुई थी, इसलिए कोस्टा का कोई दावा नहीं है। इसके विपरीत, न्यायालय ने माना कि अंततः रोम की संधि ने किसी भी तरह से ऊर्जा राष्ट्रीयकरण को नहीं रोका, और संधि प्रावधानों के तहत किसी भी मामले में केवल आयोग दावा कर सकता था, श्री कोस्टा नहीं। हालाँकि, सिंद्धांतिक रूप में, मिस्टर कोस्टा यह दलील देने के हकदार थे कि संधि राष्ट्रीय कानून के प्रतिकूल है, और न्यायालय का यह कर्तव्य होगा कि यदि उनके फैसले के खिलाफ कोई अपील नहीं करेगा तो एक निर्देश देने के लिए उनके दावे पर विचार करें। न्यायलय ने वान गेंड एन लोस में अपने विचार को दोहराते हुए कहा कि सदस्य देशों ने  ""सीमित क्षेत्रों के भीतर अपने संप्रभु अधिकारों को प्रतिबंधित कर दिया है और ""पारस्परिकता के आधार पर"" कानून के एक निकाय का निर्माण किया है जो उनके नागरिकों और उनपर लागू होता है""। कम्युनिटी के कानूनी आधार को चुनौती दिए बिना किसी भी तरह से यूरोपीय संघ के कानून का घरेलू कानूनी प्रावधानों द्वारा उल्लंघन नहीं होगा। इसका मतलब है कि सदस्य देश का कोई भी ""एकतरफा अधिनियम"" अनुचित होता है। इसी तरह, अम्मिनिस्ट्रिजियोन डेल फ़ानान्ज़े वी सिमेन्थल SpA में एक कंपनी, सिमेन्थल SpA, ने दावा किया कि 1970 के एक इतालवी कानून के तहत फ्रांस से इटली मे गोमांस आयात करने के लिए सार्वजनिक स्वास्थ्य निरीक्षण शुल्क 1964 और 1968 के मध्य के दो विनियमों के विपरीत था। ""कम्युनिटी कानून के पूर्व सिद्धांत के अनुसार,"" न्यायालय ने कहा, ""संस्थानों मे सीधे लागू होने वाले उपाय"" (जैसे कि इस मामले में विनियम) ""वर्तमान राष्ट्रीय कानून के किसी भी परस्पर विरोधी प्रावधान को स्वचालित रूप से अयोग्य करार दे सकते हैं। यह सदस्य देशों द्वारा बिना शर्त और अपरिवर्तनीय रूप से किए गए संधि के ""सम्बंधित इंकार"" को रोकने के लिए आवश्यक था, जो ""यूरोपीय संघ के अस्तित्व"" को खतरे मे ड़ाल सकता था। लेकिन न्यायालय के विचारों के बावजूद, सदस्य देशों की राष्ट्रीय अदालतों ने समान विश्लेषण को स्वीकार नहीं किया है।",1,"यूरोपीय संघ, राष्ट्रीय कानून, मामले में, सदस्य देशों, राष्ट्रीयकरण कानून, संवैधानिक न्यायालय, न्यायालय दोनों, श्री कोस्टा, इतालवी संवैधानिक, कानून राष्ट्रीय, यूरोपीय न्यायालय, इतालवी कानून, राष्ट्रीय न्यायालय, सिमेन्थल SpA, है। यूरोपीय"
100," मध्य युग में महामारियाँ और मियास्मा सिद्धांत  मध्य युग (लगभग 5वीं से 15वीं शताब्दी तक) एक ऐसा काल था जिसमें  महान महामारियाँ आम बात थीं।  इस दौर के दौरान चिकित्सा ज्ञान स्थिर था और आधिकारिक एकाउन्ट, खासकर पेरिस के मेडिकल संकाय से,  प्राचीन यूनानी और रोमन चिकित्सा पर ही आधारित थे।  इसमें ""हवा"" की भूमिका को बहुत महत्व दिया जाता था, और  मियास्मा सिद्धांत  (Miasma सिद्धांत)  व्यापक रूप से स्वीकार किया जाता था।  यह सिद्धांत कहता था कि बुरी हवा या दुर्गंध युक्त वातावरण से बीमारियाँ फैलती हैं।  इस सिद्धांत के अनुसार,  महान महामारियों के लिए तीन ग्रहों को दोषी ठहराया जाता था -  उनका गलत संयोजन बीमारियों का कारण बनता था।  इसलिए,  मध्य युग के दौरान महामारी फैलने पर,  चिकित्सकों की सलाह देने का तरीका भी सीमित था।  उनके पास  महामारी के वास्तविक कारणों की समझ की कमी थी, और इसलिए उनका इलाज भी केवल लक्षणों पर केंद्रित था।  शब्द बनाना, अर्थात् लक्षणों का वर्णन करना ही अक्सर उनके  कार्य का  केवल मध्य बिंदु था।  उस समय का आधिकारिक चिकित्सा लेखन मियास्मा सिद्धांत पर  आधारित था।  इस सिद्धांत ने केवल  लक्षणों पर ध्यान केंद्रित किया,  रोग के असली कारणों की खोज  नहीं की गई।  इसके कारण  महामारियों का नियंत्रण करना और प्रभावी उपचार विकसित करना  बहुत मुश्किल था।   मध्य युग के  सीमित चिकित्सा ज्ञान ने  आबादी को  महामारियों के प्रकोप के प्रति अत्यधिक संवेदनशील बना दिया था।",0,"मध्य युग, Miasma सिद्धांत, शब्द बना।, केवल मध्य, दौरान महामारी, दौरान चिकित्सा, ज्ञान स्थिर, आधिकारिक एकाउन्ट, एकाउन्ट पेरिस, मेडिकल संकाय, जिसमें ""हवा, महान महामारी"", तीन ग्रहों, दोषी ठहराया, सलाह देने"
116,"चीनी कला की T. T. Tsui गैलरी को 1991 में खोला गया, जिसमें V&As और चीन की लगभग 16,000 वस्तुएँ, जो आज से 4th BC तक के थे, का प्रतिनिधि संग्रह प्रदर्शित किया गया। यद्यपि कला के अधिकांश वस्तुएँ मिंग और किंग राजवंशों तक की हैं, यहाँ तांग राजवंश और उससे पहले के वस्तुओं के उत्तम उदाहरण भी हैं। विशेष रूप से बुद्ध का एक मीटर ऊंचा कांस्य सिर जो 750 AD का था और सबसे पुरानी वस्तुओं में से एक 2000 साल पुराने दफनाए गये जेड घोड़े का सिर था। अन्य मूर्तियों में पूर्णकाय कब्र संरक्षक शामिल हैं। चीनी निर्माण के क्लासिक उदाहरण प्रदर्शित किये गये हैं जिनमें लाह, रेशम, चीनी मिट्टी के बर्तन, जेड और क्लोइज़न एनामेल शामिल हैं। रेशम पर वाटर कलर में चित्रित दो बड़े पूर्वजों, पति और पत्नी, के चित्र 18 वीं शताब्दी के थे। मिंग राजवंश के ज़ूंडे सम्राट के शासनकाल के दौरान शाही कार्यशालाओं में चीनी लाह से बनाई गई एक अनूठी मेज है। कपड़ों के उदाहरण भी प्रदर्शित किए गये हैं। सबसे बड़ी वस्तुओं में एक 17 वीं शताब्दी के मध्य का एक बेड है। समकालीन चीनी डिजाइनरों के काम भी प्रदर्शित किये गये हैं।",1,"फार इस्टर्न, इस्टर्न संग्रहों, पूर्वी एशिया, शामिल हैं।, अधिक कला, कार्य शामिल, संग्रहों में, में पूर्वी, कोरिया। चीनी, वस्तुओं में, में, चीनी कला, गये हैं।, में चीनी, वीं शताब्दी"
176,,1,"व्यापार में, उल्लेखनीय पूर्व, पूर्व छात्रों, छात्रों में, में माइक्रोसॉफ्ट, पूर्व गवर्नर, सत्या नडेला, ओरेकल कॉर्पोरेशन, लैरी एलिसन, गोल्डमैन सैक्स, जॉन कॉर्ज़िन, मैकिनसे एंड, अमीर आदमी, आदमी लैरी, एमएफ ग्लोबल"
17,"जब गुलिएमो मार्कोनी ने 1901 में अपने सबसे-पहले प्रतिष्ठित ट्रांसलेटैटिक रेडियो ट्रांसमिशन का अविष्कार किया, तो टेस्ला ने यह कहा कि यह 17 टेस्ला पेटेंट के साथ किया गया था, हालांकि इस दावे के लिए बहुत कम तथ्य है। यह 1903 में टेस्ला के पेटेंट के समर्थन में रेडियो के लिए कई सालों की पेटेंट लड़ाई की शुरुआत थी, जिसके बाद 1904 में मार्कोनी के पक्ष में उल्टा फैसला हुआ। 1943 में, संयुक्त राज्य अमेरिका के सुप्रीम कोर्ट के फैसले ने टेस्ला, ओलिवर लॉज और जॉन स्टोन के पूर्व पेटेंट बहाल कर दिए। अदालत ने घोषणा की कि रेडियो प्रसारण हासिल करने वाले पहले के रूप में मार्कोनी के दावे पर उनके फैसले से कोई सम्बन्ध नहीं है, केवल इसलिए कि मार्कोनी के कुछ पेटेंटों का दावा संदिग्ध था, वह उन्हीं पेटेंटों के उल्लंघन का दावा नहीं कर सकता था (ऐसे दावे हैं कि केवल टेस्ला के पूर्व पेटेंट को बहाल करके उच्च न्यायलय अमेरिकी सरकार के विरुद्ध  मार्कोनी की कंपनी द्वारा लगाए गए प्रथम विश्व युद्ध के दावों को अमान्य घोषित करने की कोशिश कर रहा था।)",1,"पूर्व पेटेंट, में मार्कोनी, गुलिएमो मार्कोनी, विरुद्ध मार्कोनी, टेस्ला पेटेंट, पेटेंट बहाल, पेटेंट लड़ाई, में टेस्ला, केवल टेस्ला, दावा संदिग्ध, में रेडियो, फैसला हुआ।, संयुक्त राज्य, ओलिवर लॉज, ट्रांसलेटैटिक रेडियो"
229,"पुराने उपनिवेशों में से कई के पास भूमि के दावे थे जो मनमाने ढंग से पश्चिम तक विस्तारित थे, क्योंकि जब उनके प्रांतीय चार्टर्स को अनुमति दी गई थी तब महाद्वीप की सीमा अज्ञात थी। जबकि उनके जनसंख्या केंद्र  तट के साथ थे, बस्तियां आंतरिक इलाकों में बढ़ रही थीं। नोवा स्कोटिया, जो 1713 में फ्रांस से कब्जा कर लिया गया था, में अभी भी फ्रेंच बोलने वाली एक महत्वपूर्ण आबादी थी। ब्रिटेन ने रूपर्ट की भूमि पर भी दावा किया, जहां हडसन की बे कंपनी ने स्थानीय जनजातियों के साथ फर के लिए कारोबार किया।",1,"नोवा स्कोटिया, ब्रिटिश उपनिवेशियों, बस्तियां आंतरिक, जहां हडसन, कारोबार किया।, थीं। नोवा, दक्षिण में, आबादी थी।, पास भूमि, अज्ञात थी।, थी। जबकि, महत्वपूर्ण आबादी, थी। ब्रिटेन, पीछे छोड़ते, फैलाया। पुराने"
