id,text,keywords,label
135,"प्रतिरक्षा प्रणाली शरीर के एक महत्वपूर्ण अंग है जो शरीर के अंतर्गत बसे विषाक्त जीवाणु, विषाक्त जीवाणु आदि के खिलाफ लड़ता है। यह प्रणाली शरीर के अपने आप के लक्ष्य के लिए तैयार रहती है और इसके द्वारा बीमारी के खतरे को नियंत्रित किया जाता है। यदि इस प्रणाली के फंक्शन कम हो जाता है, तो व्यक्ति के शरीर में बीमारी के खतरे के बारे में बहुत बड़ा खतरा बर्बर हो सकता है। ऐसी स्थिति को प्रतिरक्षा अभाव कहते हैं। यह एक आनुवांशिक बीमारी हो सकती है जिसके कारण शरीर के प्रतिरक्षा प्रणाली के कार्य बर्बर हो जाते हैं।

प्रतिरक्षा अभाव के कारण विभिन्न बीमारी हो सकती हैं जिसमें स्व-प्रतिरक्षित रोग भी शामिल है। इस बीमारी में शरीर के अपने आप के अंगों के खिलाफ शरीर की प्रतिरक्षा प्रणाली लड़ती है। ऐसी बीमारी के उदाहरण हैं जैसे हाशिमोटो थायरॉयडिटिस और मधुमेह मेलेटस। मेलेटस टाइप एक जटिल बीमारी है जिसके परिणामस्वरूप शरीर में गंभीर संयुक्त बीमारी हो सकती है। इस बीमारी में खतरनाक संक्रमण हो सकता है जो शरीर के सामान्य फंक्शन को बर्बर कर सकता है।

प्रतिरक्षा प्रणाली के अंतर्गत अंतर्निहित अंगों के खिलाफ लड़ने की क्षमता होती है। इसके अभाव में व्यक्ति के शरीर में बीमारी के खतरे के बारे में बहुत बड़ा खतरा हो सकता है। इस बीमारी के उपचार के लिए दमनकारी दवाओं का उपयोग किया जाता है जो शरीर के अपने आप के अंगों के खिलाफ लड़ने की क्षमता को बर्बर कर सकती हैं। इस प्रकार, प्रतिरक्षा प्रणाली के अंतर्गत अंतर्निहित अंगों के खिलाफ लड़ने","प्रतिरक्षा प्रणाली, प्रतिरक्षा अभाव, स्व-प्रतिरक्षित रोग, हैं। प्रतिरक्षा, सूजन संबंधी, प्राप्त स्थितियों, हाशिमोटो थायरॉयडिटिस, मधुमेह मेलेटस, मेलेटस टाइप, जिसके परिणामस्वरूप, प्रणाली सामान्य, खतरनाक संक्रमण, आनुवांशिक बीमारी, गंभीर संयुक्त, दमनकारी दवाओं",0
40,"स्काई+एचडी मटेरियल एमपीईजी-4 का उपयोग करके प्रसारित की जाती हैं और अधिकांश एचडी मटेरियल डीवीबी-एस2 मानक का उपयोग करते हैं। इंटरैक्टिव सेवाएं और 7-दिवसीय ईपीजी प्रॉपराइटरी ओपनटीवी सिस्टम का उपयोग करते हैं, जिसमें सेट-टॉप बॉक्स होते हैं, जिसमें वापसी पथ के लिए मॉडेम भी शामिल है। स्काई न्यूज, अन्य चैनलों के साथ, लूपिंग वीडियो स्ट्रीम प्रसारित करके एक छद्म वीडियो ऑन-डिमांड इंटरैक्टिव सेवा प्रदान करता है।","-दिवसीय ईपीजी, अन्य चैनलों, संगत एमपीईजी-, जिसमें सेट-टॉप, जिसमें वापसी, मटेरियल डीवीबी-एस, लूपिंग वीडियो, मटेरियल एमपीईजी-, उपयोग करके, प्रसारण व्याख्या, व्याख्या डीवीबी-, डीवीबी- संगत, ऑफिस चैनल, चैनल डॉल्बी, डॉल्बी डिजिटल",1
67,"फ़ेडरल एनर्जी एक महत्वपूर्ण अमेरिकी संस्थान है जो अमेरिकी गैसोलीन के वितरण और उपभोग के संबंध में जागरूकता फैलाने के लिए कार्य करता है। इसके अंतर्गत एनर्जी ऑफ़िस भी संचालित किया जाता है, जो अमेरिकी गैसोलीन स्टेशनों में ईंधन के वितरण और उपलब्धता के बारे में जानकारी प्रदान करता है। फ़ेडरल एनर्जी ने अपने एनर्जी ऑफ़िस के द्वारा अमेरिकी गैसोलीन के वितरण के बारे में जागरूकता फैलाने के लिए विभिन्न योजनाएं शुरू की हैं। इसके अंतर्गत, अमेरिकी गैसोलीन स्टेशनों में ईंधन की उपलब्धता के बारे में आंकड़ा देखा जा सकता है, जो सप्ताह में प्रत्येक स्टेशन में ईंधन के वितरण के बारे में जानकारी देता है। इसके अलावा, फ़ेडरल एनर्जी ने अमेरिकी गैसोलीन के वितरण के बारे में जागरूकता फैलाने के लिए निक्सन के समय के दौरान अपने कार्य को विस्तारित किया है। फ़ेडरल एनर्जी ने अपने कार्य के दौरान अमेरिकी गैसोलीन स्टेशनों में ईंधन के वितरण के बारे में जानकारी देने के लिए विभिन्न तरीके अपनाए हैं। इसके अंतर्गत, अमेरिकी गैसोलीन के वितरण के बारे में जागरूकता फैलाने के लिए विभिन्न योजनाएं शुरू की गई हैं। फ़ेडरल एनर्जी ने अपने कार्य के दौरान अमेरिकी गैसोलीन के वितरण के बारे में जानकारी देने के लिए विभिन्न तरीके अपनाए हैं।","फ़ेडरल एनर्जी, एनर्जी ऑफ़िस, रूप में, में विलियम, में, गैसोलीन स्टेशनों, अमेरिकी गैसोलीन, निक्सन, स्टेशनों में, था।, में प्रत्येक, सप्ताह में, में ईंधन, फ़ेडरल, एनर्जी",0
97,"यह पहले पीयर-टू-पीयर नेटवर्क आर्किटेक्चर में से एक में विकसित हुआ, जिससे DEC 1980 के दशक में एक नेटवर्किंग पावरहाउस बन गया। शुरू में  यह तीन लेयर के साथ बनाया गया था, यह बाद में (1982) सात-लेयर वाले OSI-अनुरूप नेटवर्किंग प्रोटोकॉल के रूप में विकसित हुआ। DECnet प्रोटोकॉल पूरी तरह से डिजिटल इक्विपमेंट कॉर्पोरेशन द्वारा डिजाइन किए गए थे। हालाँकि, DECnet का फ़ेज़ II (और बाद में) प्रकाशित विनिर्देशों युक्त ओपन स्टैंडर्ड थे, और कई कार्यो को DEC के बाहर विकसित किया गया था, जिसमें से एक Linux के लिए भी था।","जिससे DEC, OSI -अनुरूप, थे। हालाँकि, में विकसित, इक्विपमेंट कॉर्पोरेशन, तीन लेयर, डिजाइन किए, में) प्रकाशित, प्रकाशित विनिर्देशों, विनिर्देशों युक्त, युक्त ओपन, ओपन स्टैंडर्ड, विकसित हुआ।, बाहर विकसित, मूल रूप",1
108,"आधुनिक विद्वानों ने मुस्लिम विजय के बारे में अपने अनुसंधान में बहुत बड़ा योगदान दिया है। विशेषकर Persia में, आधुनिक भूविज्ञान एवं भूमि निर्माण के क्षेत्र में जन्म मुस्लिम भूवैज्ञानिकों ने अपने रचनाओं में बहुत बड़ा योगदान दिया है। इन विद्वानों ने भारत, चीन एवं अन्य देशों में भूभाग के अध्ययन में अपनी विशेषताओं के साथ समुद्र था। आधुनिक भूविज्ञान के क्षेत्र में अपने अनुसंधान के द्वारा वे अपने देश के भूभाग के विकास के लिए बहुत बड़ा योगदान दिया है।

मुस्लिम विजय के बारे में आधुनिक विद्वानों ने अपने अनुसंधान में अपने देश के भूभाग के अध्ययन में बहुत बड़ा योगदान दिया है। विशेषकर भारत, चीन एवं अन्य देशों में भूभाग के अध्ययन में अपने रचनाओं में वे अपने देश के भूभाग के विकास के लिए बहुत बड़ा योगदान दिया है। आधुनिक भूविज्ञान के क्षेत्र में अपने अनुसंधान के द्वारा वे अपने देश के भूभाग के विकास के लिए बहुत बड़ा योगदान दिया है।

आधुनिक विद्वानों ने अपने अनुसंधान में भूमि निर्माण एवं जीवाश्म के क्षेत्र में अपने देश के भूभाग के अध्ययन में बहुत बड़ा योगदान दिया है। विशेषकर भारत, चीन एवं अन्य देशों में भूभाग के अध्ययन में अपने रचनाओं में वे अपने देश के भूभाग के विकास के लिए बहुत बड़ा योगदान दिया है। आधुनिक भूविज्ञान के क्षेत्र में अपने अनुसंधान के द्वारा वे अपने देश के भूभाग के विकास के लिए बहुत बड़ा योगदान दिया है।","आधुनिक विद्वानों, मुस्लिम विजय, Persia में, आधुनिक भूविज्ञान, चलकर आधुनिक, में, समुद्र था।, भूमि निर्माण, जन्म मुस्लिम, भूवैज्ञानिकों में, रचनाओं में, में भारत, चीन में, भूभाग में, में जीवाश्म",0
51,"जब वे औपनिवेशिक अधिकारियों के पास पहुँचे, तो उन्होंने उन्हे जेम्स नदी के जल-प्रपात से 20 मील आगे मोनैकन गांव के पास का निर्जन हिस्सा दिया, जिसे आज मैनकिन टाउन, के नाम से जाना जाता है, जो अब पोहतन काउंटी का भाग है।  वर्तमान समय में कुछ प्रवासी; चेस्टरफील्ड काउंटी मे बसे हुए हैं । 12 मई 1705 को, वर्जीनिया जनरल असेंबली ने मैनकिन टाउन में 148 ह्यूगनॉट्स के स्थायी निवास के लिए एक प्राकृतिकरण अधिनियम पारित किया। कुल 390 प्रवासियों में से अधिकतर की मृत्यु हो गई; कुछ लोग अंग्रेजी परंपरानुसार शहर के बाहर आकर खेतों पर बस गये; और शेष विभिन्न क्षेत्रों में चले गए। आगे चलकर उन्होंने अपने अंग्रेजी पड़ोसियों के साथ वैवाहिक सम्बंध स्थापित किए। अठाहरवीं और उन्नीसवीं शताब्दी के दौरान, फ्रांसीसी वंशज पश्चिम दिशा में पिडमॉन्ट और अप्पलाचियन पर्वत के पार पश्चिम में चले गए जिससे वर्तमान में केंटुकी, टेनेसी, मिसौरी और अन्य राज्यों का निर्माण हुआ। मैनकिन टाउन क्षेत्र में, ह्यूगनॉट लोगों के सम्मान में जेम्स नदी के पार ह्यूगनॉट मेमोरियल ब्रिज और ह्यूगनॉट रोड और कई स्थानीय सुविधाओं, जिसमें ह्यूगनॉट हाई स्कूल भी शामिल हैं, का नामकरण किया गया।","मैनकिन टाउन, में चले, जेम्स नदी, चले गए।, पास पहुँचे, हुआ। मैनकिन, टाउन क्षेत्र, स्थानीय सुविधाओं, मील आगे, चेस्टरफील्ड काउंटी, उन्हे जेम्स, पार पश्चिम, जिसमें ह्यूगनॉट, पार ह्यूगनॉट, लोअर नॉरफ़ॉक",1
187,"देश मुख्यतः विभिन्न दूरी वाली प्रतियोगिताओं, विशेष रूप से  मध्यम दूरी और लंबी दूरी की एथेलिटिक्स में अपने वर्चस्व के लिए विभिन्न दूरी वाली प्रतियोगिताओं, विशेष रूप से 800 मी, 1500 मी, 3000 मी, स्टीप्लचेज,  5000 मी, 10000 मी और मैराथन में लगातार ओलंपिक और कामनवेल्थ खेल विजेताओं के उत्पादक के रूप में जाना जाता है। केन्याई एथलीट्स (विशेष रूप से क्लेन्जिन) ने लंबी दूरी की दौड़ों के संसार में वर्चस्व बना रखा है लेकिन मोरक्को और इथियोपिया  ने प्रतिस्पर्धा के इस सर्वोच्चता को घटा दिया है। केन्या के सर्वाधिक सुपरिचित धावकों में महिलाओं की चार बार की बोस्टन मैराथन विजेता, दो बार की विश्वविजेता कैथरीन नदेरेबा, 800 मी विश्व रिकॉर्ड धारक डेविड रुदिशा,पूर्व मैराथन विश्व रिकॉर्ड धारक पॉल और जॉन शामिल हैं।","वाली प्रतियोगिताओं, विशेष रूप, विश्व रिकॉर्ड, रिकॉर्ड धारक, दूरी वाली, विभिन्न दूरी, लंबी दूरी, जिनमें क्रिकेट,रैलिंग, रग्बी यूनियन, कैथरीन नदेरेबा, मुख्यतः विभिन्न, चार बार, धारक डेविड, धारक पॉल, (विशेष रूप",1
90,"वेस्ट साइड एक महत्वपूर्ण क्षेत्र है जो अमेरिकी नगरों में आम रूप से पाया जाता है। यह क्षेत्र आमतौर पर नगर के पश्चिमी भाग में स्थित होता है और इसके अंतर्गत अधिकतर मैक्सिकन-अमेरिकी आबादी आती है। वेस्ट साइड के क्षेत्र में अफ्रीकी-अमेरिकी समुदाय भी पाये जाते हैं, जो इस क्षेत्र के सांस्कृतिक रूप और परंपरागत रूप में महत्वपूर्ण भूमिका निभाते हैं। इस क्षेत्र में नीलसन एवेन्यू जैसे महत्वपूर्ण नगरी सड़कें स्थित होती हैं जो इस क्षेत्र के विकास में महत्वपूर्ण भूमिका निभाती हैं।

वेस्ट साइड के क्षेत्र में एशियाई-अमेरिकी आबादी भी मौजूद हैं, जिनमें मुख्यतः हमोंग और लाओटियन आबादी शामिल हैं। इन आबादियों के अंतर्गत विभिन्न सांस्कृतिक रूप और परंपरागत रूप आते हैं जो इस क्षेत्र के विविधता और सामाजिक विविधता को प्रतिबिंबित करते हैं। वेस्ट साइड के क्षेत्र में विभिन्न आबादियों के संगठन और सांस्कृतिक विविधता के कारण इस क्षेत्र के विकास और विश्वास के अंतर्गत एक विशेष रूप से संगठित रूप ले लेते हैं।

इस क्षेत्र में विभिन्न आबादियों के संगठन और सांस्कृतिक विविधता के कारण इस क्षेत्र के विकास और विश्वास के अंतर्गत एक विशेष रूप से संगठित रूप ले लेते हैं। वेस्ट साइड के क्षेत्र में विभिन्न आबादियों के संगठन और सांस्कृतिक विविधता के कारण इस क्षेत्र के विकास और विश्वास के अंतर्गत एक विशेष रूप से संगठित रूप ले लेते हैं।","""वेस्ट साइड, परंपरागत रूप, सांस्कृतिक रूप, साइड ऑफ़, पुराने क्षेत्रों, नीलसन एवेन्यू, अफ्रीकी-अमेरिकी समुदाय, केंद्र माना, अधिकतर मैक्सिकन-अमेरिकी, एशियाई-अमेरिकी (मुख्यतः, (मुख्यतः हमोंग, लाओटियन) आबादी, सीमाएँ पश्चिम, हैं। क्षेत्र, माना जाता",0
177,"पुरस्कार विजेता एक विशेष अवसर होता है जिसमें विश्व के विभिन्न क्षेत्रों में अपनी विशेषताओं और योगदान के कारण विशेष उत्सव बर्खास्त किए जाते हैं। इसमें से एक अहम पुरस्कार नोबेल मेमोरियल पुरस्कार है, जो विश्व के विभिन्न क्षेत्रों में विशेष योगदान करने वाले व्यक्तियों को दिया जाता है। इस पुरस्कार के एक विजेता गैरी बेकर हैं। वे एक रूढ़िवादी ब्रिटिश व्यक्ति हैं जो ब्रिटिश प्रधानमंत्री मार्गरेट थैचर के सलाहकार रहे हैं। वे एक महत्वपूर्ण योगदानकर्ता हैं जिनके द्वारा ब्रिटिश सरकार के नीति निर्माण में बड़ा योगदान हुआ है।

गैरी बेकर नोबेल मेमोरियल पुरस्कार के विजेता भी हैं, जो ब्रिटिश अर्थशास्त्री रोनाल्ड रीगन और मिल्टन फ्रीडमैन के विचारों के अनुसार अर्थशास्त्रीय नीतियों के विकास में महत्वपूर्ण भूमिका निभाए हैं। वे एक प्रमुख सलाहकार रहे हैं जिनके द्वारा ब्रिटिश सरकार के अर्थशास्त्रीय नीतियों में बड़ा योगदान हुआ है। वे एक विजेता मिल्टन हैं जिनके द्वारा ब्रिटिश अर्थशास्त्रीय नीतियों में बड़ा योगदान हुआ है।

इस पुरस्कार के विजेता गैरी बेकर एक विशेष व्यक्ति हैं जिनके द्वारा ब्रिटिश सरकार के अर्थशास्त्रीय नीतियों में बड़ा योगदान हुआ है। वे एक महत्वपूर्ण योगदानकर्ता हैं जिनके द्वारा ब्रिटिश सरकार के अर्थशास्त्रीय नीतियों में बड़ा योगदान हुआ है।","पुरस्कार विजेता, गैरी बेकर, मेमोरियल पुरस्कार, मिल्टन फ्रीडमैन, रोनाल्ड रीगन, जॉर्ज स्टिग्लर, महत्वपूर्ण योगदानकर्ता, विजेता मिल्टन, नोबेल मेमोरियल, रूढ़िवादी ब्रिटिश, ब्रिटिश प्रधानमंत्री, प्रधानमंत्री मार्गरेट, मार्गरेट थैचर, प्रमुख सलाहकार, सलाहकार रोनाल्ड",0
12,"नॉर्मन के किराए के सैनिकों को दक्षिण में आने के लिए पहले लोम्बार्ड्स द्वारा बीजान्टिन के खिलाफ कार्रवाई करने के लिए प्रोत्साहित किया गया था, लेकिन वे जल्द ही सिसिली में बीजान्टिन सेवा में लड़े। वे 1038-40 में जॉर्ज मेनियाक्स के सिसिली अभियान में वरांगियन और लोम्बार्ड की टुकड़ियों के साथ प्रमुख थे। इस बात पर बहस चल रही है कि क्या ग्रीक की सेवा में नॉर्मन वास्तव में नॉर्मन इटली से थे, और अब लगता है कि केवल कुछ ही वहाँ से आए थे। यह भी अज्ञात है कि कितने ""फ्रैंक्स"", जैसे कि बीजान्टिन द्वारा उन्हें बुलाया था, नॉर्मन थे और अन्य फ्रांसीसी नहीं थे।","में प्रवेश, सेवा में, में नॉर्मन, खिलाफ लड़ाइयाँ, खिलाफ कार्रवाई, विशेष रूप, सेल्जुक तुर्क, लड़ाइयाँ लड़ी।, जॉर्ज मेनियाक्स, क्या ग्रीक, अन्य फ्रांसीसी, उन्होंने बीजान्टिन, सिसिली अभियान, लड़ी। नॉर्मन, नॉर्मन वास्तव",1
